AccelerometerEvent sender: /android/brenner, time: 1341234142000, x:  0.130904078484, y:  0.944658458233, z:  0.087920650840
AccelerometerEvent sender: /android/brenner, time: 1341234142010, x:  0.130904078484, y:  0.944658458233, z:  0.087920650840
AccelerometerEvent sender: /android/brenner, time: 1341234142014, x:  0.127973392606, y:  0.947589218616, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234142055, x:  0.123088911176, y:  0.945635437965, z:  0.080105476081
AccelerometerEvent sender: /android/brenner, time: 1341234142071, x:  0.123088911176, y:  0.945635437965, z:  0.080105476081
AccelerometerEvent sender: /android/brenner, time: 1341234142095, x:  0.123088911176, y:  0.946612298489, z:  0.078151687980
AccelerometerEvent sender: /android/brenner, time: 1341234142133, x:  0.123088911176, y:  0.946612298489, z:  0.078151687980
AccelerometerEvent sender: /android/brenner, time: 1341234142135, x:  0.123088911176, y:  0.943681597710, z:  0.081082373857
AccelerometerEvent sender: /android/brenner, time: 1341234142175, x:  0.124065801501, y:  0.945635437965, z:  0.079128578305
AccelerometerEvent sender: /android/brenner, time: 1341234142196, x:  0.124065801501, y:  0.945635437965, z:  0.079128578305
AccelerometerEvent sender: /android/brenner, time: 1341234142215, x:  0.125042706728, y:  0.942704737186, z:  0.078151687980
AccelerometerEvent sender: /android/brenner, time: 1341234142255, x:  0.124065801501, y:  0.945635437965, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234142258, x:  0.124065801501, y:  0.945635437965, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234142295, x:  0.128950282931, y:  0.944658458233, z:  0.079128578305
AccelerometerEvent sender: /android/brenner, time: 1341234142321, x:  0.128950282931, y:  0.944658458233, z:  0.079128578305
AccelerometerEvent sender: /android/brenner, time: 1341234142335, x:  0.126996502280, y:  0.944658458233, z:  0.080105476081
AccelerometerEvent sender: /android/brenner, time: 1341234142375, x:  0.130904078484, y:  0.944658458233, z:  0.078151687980
