800,,,,,,
chopping,165,185,,,,
ACCEL,2011-03-16 15:48:33.458,106,182,-0.6523438,-0.4140625,-0.6875
ACCEL,2011-03-16 15:48:33.478,106,183,-0.6523438,-0.4375,-0.7382813
ACCEL,2011-03-16 15:48:33.498,106,184,-0.6640625,-0.4296875,-0.7304688
ACCEL,2011-03-16 15:48:33.518,106,185,-0.6640625,-0.4453125,-0.7304688
ACCEL,2011-03-16 15:48:33.538,106,186,-0.6210938,-0.4570313,-0.7890625
ACCEL,2011-03-16 15:48:33.558,106,187,-0.625,-0.4453125,-0.71875
ACCEL,2011-03-16 15:48:33.578,106,188,-0.7070313,-0.390625,-0.8242188
ACCEL,2011-03-16 15:48:33.527,106,706,0.9648438,-0.3554688,-0.02734375
ACCEL,2011-03-16 15:48:33.547,106,707,0.9726563,-0.34375,-0.0234375
ACCEL,2011-03-16 15:48:33.567,106,708,0.9765625,-0.3476563,-0.01171875
ACCEL,2011-03-16 15:48:33.587,106,709,0.9726563,-0.3320313,-0.00390625
ACCEL,2011-03-16 15:48:33.607,106,710,0.9765625,-0.34375,0.0390625
ACCEL,2011-03-16 15:48:33.627,106,711,1.070313,-0.3320313,0.1289063
ACCEL,2011-03-16 15:48:33.647,106,712,1.21875,-0.296875,0.3359375
ACCEL,2011-03-16 15:48:33.667,106,713,1.003906,-0.2890625,0.3789063
ACCEL,2011-03-16 15:48:33.687,106,714,1.050781,-0.265625,0.25
ACCEL,2011-03-16 15:48:33.567,106,715,1.101563,-0.2304688,0.1796875
ACCEL,2011-03-16 15:48:33.587,106,716,1.035156,-0.0859375,0.375
ACCEL,2011-03-16 15:48:33.607,106,717,1.023438,-0.5078125,0.4492188
ACCEL,2011-03-16 15:48:33.627,106,718,0.96875,-0.3125,0.453125
ACCEL,2011-03-16 15:48:33.647,106,719,0.921875,-0.1953125,0.2929688
ACCEL,2011-03-16 15:48:33.667,106,720,0.828125,-0.2734375,0.1484375
ACCEL,2011-03-16 15:48:33.687,106,721,0.9492188,-0.34375,-0.01953125
ACCEL,2011-03-16 15:48:33.630,106,722,1.019531,-0.3828125,-0.0625
ACCEL,2011-03-16 15:48:33.650,106,723,1.003906,-0.3828125,-0.0390625
ACCEL,2011-03-16 15:48:33.670,106,724,0.9609375,-0.3710938,-0.0234375
ACCEL,2011-03-16 15:48:33.690,106,725,0.9570313,-0.3789063,0.0078125
ACCEL,2011-03-16 15:48:33.710,106,726,1,-0.2421875,0.1132813
ACCEL,2011-03-16 15:48:33.730,106,727,1.058594,-0.2851563,0.1289063
ACCEL,2011-03-16 15:48:33.750,106,728,1.0625,-0.3476563,0.078125
ACCEL,2011-03-16 15:48:33.766,106,729,1.042969,-0.2890625,0.05078125
ACCEL,2011-03-16 15:48:33.786,106,730,1.015625,-0.2734375,0.046875
ACCEL,2011-03-16 15:48:33.806,106,731,0.7773438,-0.8476563,-0.3476563
ACCEL,2011-03-16 15:48:33.826,106,732,0.6640625,-1.347656,-1.171875
ACCEL,2011-03-16 15:48:33.846,106,733,0.9609375,-0.5546875,0.046875
ACCEL,2011-03-16 15:48:33.866,106,734,-0.2421875,-0.03125,0.640625
ACCEL,2011-03-16 15:48:33.886,106,735,0.59375,0.5664063,0.5078125
ACCEL,2011-03-16 15:48:33.906,106,736,1.152344,-0.6640625,-0.5546875
ACCEL,2011-03-16 15:48:33.906,106,737,1.214844,-0.3828125,-0.1992188
ACCEL,2011-03-16 15:48:33.926,106,738,1.023438,-0.3242188,-0.08203125
ACCEL,2011-03-16 15:48:33.946,106,739,0.8203125,-0.4140625,-0.0234375
ACCEL,2011-03-16 15:48:33.966,106,740,0.9492188,-0.1132813,0.08203125
ACCEL,2011-03-16 15:48:33.986,106,741,1.265625,-0.1679688,-0.05078125
ACCEL,2011-03-16 15:48:34.006,106,742,1.019531,-0.2109375,-0.1640625
ACCEL,2011-03-16 15:48:34.026,106,743,0.8085938,-0.3476563,-0.1054688
ACCEL,2011-03-16 15:48:34.046,106,744,0.6992188,-0.234375,-0.01171875
ACCEL,2011-03-16 15:48:34.083,106,745,0.5351563,-0.1835938,-0.07421875
ACCEL,2011-03-16 15:48:34.103,106,746,0.3203125,-0.1679688,-0.1328125
ACCEL,2011-03-16 15:48:34.123,106,747,0.2578125,-0.1640625,-0.1015625
ACCEL,2011-03-16 15:48:34.143,106,748,0.4921875,-0.1640625,-0.05078125
ACCEL,2011-03-16 15:48:34.163,106,749,1.019531,-0.234375,-0.0703125
ACCEL,2011-03-16 15:48:34.183,106,750,1.664063,-0.3632813,-0.1289063
ACCEL,2011-03-16 15:48:34.203,106,751,2.019531,-0.4023438,-0.171875
ACCEL,2011-03-16 15:48:34.215,106,752,2.097656,-0.484375,-0.0703125
ACCEL,2011-03-16 15:48:34.235,106,753,1.769531,-0.5703125,-0.0390625
ACCEL,2011-03-16 15:48:34.255,106,754,1.304688,-0.4726563,0.02734375
ACCEL,2011-03-16 15:48:34.275,106,755,0.9570313,-0.3125,0.0859375
ACCEL,2011-03-16 15:48:34.295,106,756,0.5546875,-0.1757813,0.04296875
ACCEL,2011-03-16 15:48:34.315,106,757,0.1796875,-0.125,0.01171875
ACCEL,2011-03-16 15:48:34.335,106,758,0.01953125,-0.0625,-0.046875
ACCEL,2011-03-16 15:48:34.355,106,759,-0.0078125,-0.046875,0.01171875
ACCEL,2011-03-16 15:48:34.375,106,760,-0.04296875,0.359375,0.05859375
ACCEL,2011-03-16 15:48:34.386,106,761,1.746094,-0.234375,-0.2695313
ACCEL,2011-03-16 15:48:34.406,106,762,2.1875,-0.5390625,-0.4804688
ACCEL,2011-03-16 15:48:34.426,106,763,2.101563,-0.6914063,-0.53125
ACCEL,2011-03-16 15:48:34.446,106,764,1.800781,-0.6914063,-0.296875
ACCEL,2011-03-16 15:48:34.466,106,765,1.289063,-0.5390625,-0.125
ACCEL,2011-03-16 15:48:34.486,106,766,0.9648438,-0.59375,-0.3398438
ACCEL,2011-03-16 15:48:34.506,106,767,0.2929688,-0.1328125,0.1171875
ACCEL,2011-03-16 15:48:34.526,106,768,0.06640625,-0.06640625,0
ACCEL,2011-03-16 15:48:34.546,106,769,-0.7929688,0.2773438,-0.06640625
ACCEL,2011-03-16 15:48:34.563,106,770,-0.4570313,0.2304688,0.1367188
ACCEL,2011-03-16 15:48:34.583,106,771,-0.05859375,0.2734375,0.06640625
ACCEL,2011-03-16 15:48:34.603,106,772,1.160156,-0.1640625,-0.453125
ACCEL,2011-03-16 15:48:34.623,106,773,2.417969,-0.3945313,-0.578125
ACCEL,2011-03-16 15:48:34.643,106,774,2.300781,-0.8125,-1.050781
ACCEL,2011-03-16 15:48:34.663,106,775,2.007813,-0.8984375,-0.5273438
ACCEL,2011-03-16 15:48:34.683,106,776,1.5,-0.8320313,-0.2617188
ACCEL,2011-03-16 15:48:34.703,106,777,0.984375,-0.6132813,-0.05078125
ACCEL,2011-03-16 15:48:34.719,106,778,0.7226563,-0.6054688,-0.01953125
ACCEL,2011-03-16 15:48:34.739,106,779,0.4375,-0.3398438,-0.0703125
ACCEL,2011-03-16 15:48:34.759,106,780,0.390625,0.1328125,0.8476563
ACCEL,2011-03-16 15:48:34.779,106,781,-0.7226563,0.3164063,0
ACCEL,2011-03-16 15:48:34.799,106,782,-0.4140625,0.4296875,-0.046875
ACCEL,2011-03-16 15:48:34.819,106,783,-0.04296875,0.2929688,-0.05859375
ACCEL,2011-03-16 15:48:34.839,106,784,1.480469,0.0625,-0.2539063
ACCEL,2011-03-16 15:48:34.859,106,785,2.273438,-0.4257813,0.01171875
ACCEL,2011-03-16 15:48:34.880,106,786,2.835938,-0.7851563,-0.4492188
ACCEL,2011-03-16 15:48:34.900,106,787,2.441406,-1.027344,-0.1484375
ACCEL,2011-03-16 15:48:34.920,106,788,1.628906,-0.9921875,0.3632813
ACCEL,2011-03-16 15:48:34.940,106,789,1.167969,-0.7695313,0.2578125
ACCEL,2011-03-16 15:48:34.960,106,790,0.8710938,-0.34375,0.1367188
ACCEL,2011-03-16 15:48:34.980,106,791,0.6015625,-0.01953125,0.015625
ACCEL,2011-03-16 15:48:35.000,106,792,0.25,-0.015625,-0.1054688
ACCEL,2011-03-16 15:48:35.016,106,793,0.0390625,0.3789063,0.0390625
ACCEL,2011-03-16 15:48:35.036,106,794,-0.2421875,0.4609375,-0.125
ACCEL,2011-03-16 15:48:35.056,106,795,-0.3945313,0.3671875,-0.1445313
ACCEL,2011-03-16 15:48:35.076,106,796,0.09375,0.21875,0.015625
ACCEL,2011-03-16 15:48:35.096,106,797,1.421875,-0.2734375,-0.2148438
ACCEL,2011-03-16 15:48:35.116,106,798,2.722656,-0.75,-0.1757813
ACCEL,2011-03-16 15:48:35.136,106,799,2.832031,-0.9335938,-0.3203125
ACCEL,2011-03-16 15:48:35.156,106,800,2.175781,-0.9960938,-0.1054688
ACCEL,2011-03-16 15:48:35.156,106,801,1.46875,-0.828125,0.2226563
ACCEL,2011-03-16 15:48:35.176,106,802,1.003906,-0.5078125,0.1484375
ACCEL,2011-03-16 15:48:35.196,106,803,0.6640625,-0.1796875,0.08984375
ACCEL,2011-03-16 15:48:35.216,106,804,0.375,-0.0234375,-0.01171875
ACCEL,2011-03-16 15:48:35.236,106,805,0.1953125,0.3789063,0.01171875
ACCEL,2011-03-16 15:48:35.256,106,806,-0.4765625,0.4960938,-0.046875
ACCEL,2011-03-16 15:48:35.276,106,807,-0.3867188,0.3007813,-0.0859375
ACCEL,2011-03-16 15:48:35.296,106,808,-0.1328125,0.2460938,0.5039063
ACCEL,2011-03-16 15:48:35.324,106,809,0.7421875,-0.08203125,0.0703125
ACCEL,2011-03-16 15:48:35.344,106,810,2.023438,-0.2890625,-0.3710938
ACCEL,2011-03-16 15:48:35.364,106,811,2.636719,-0.7460938,-0.4414063
ACCEL,2011-03-16 15:48:35.384,106,812,2.757813,-0.9335938,-0.4140625
ACCEL,2011-03-16 15:48:35.404,106,813,2.09375,-1.003906,-0.1992188
ACCEL,2011-03-16 15:48:35.424,106,814,1.433594,-0.765625,0.00390625
ACCEL,2011-03-16 15:48:35.444,106,815,0.9648438,-0.4570313,0.1875
ACCEL,2011-03-16 15:48:35.464,106,816,0.609375,-0.140625,0.03515625
ACCEL,2011-03-16 15:48:35.484,106,817,0.2226563,-0.0234375,-0.05078125
ACCEL,2011-03-16 15:48:35.500,106,818,0.02734375,0.2109375,-0.05078125
ACCEL,2011-03-16 15:48:35.520,106,819,-0.05078125,0.3242188,-0.06640625
ACCEL,2011-03-16 15:48:35.540,106,820,-0.203125,0.421875,0.1835938
ACCEL,2011-03-16 15:48:35.560,106,821,0.03125,0.1835938,0.078125
ACCEL,2011-03-16 15:48:35.580,106,822,1.300781,-0.3671875,-0.3632813
ACCEL,2011-03-16 15:48:35.600,106,823,2.386719,-0.7460938,-0.2265625
ACCEL,2011-03-16 15:48:35.620,106,824,2.828125,-0.9257813,-0.1757813
ACCEL,2011-03-16 15:48:35.640,106,825,2.433594,-1.058594,-0.1679688
ACCEL,2011-03-16 15:48:35.661,106,826,1.675781,-0.9179688,0.04296875
ACCEL,2011-03-16 15:48:35.681,106,827,1.132813,-0.5898438,0.07421875
ACCEL,2011-03-16 15:48:35.701,106,828,0.7304688,-0.1953125,0.0625
ACCEL,2011-03-16 15:48:35.721,106,829,0.40625,0.01171875,-0.046875
ACCEL,2011-03-16 15:48:35.741,106,830,0.140625,0.4375,-0.1289063
ACCEL,2011-03-16 15:48:35.761,106,831,-1.136719,0.08203125,-0.1484375
ACCEL,2011-03-16 15:48:35.781,106,832,-0.265625,0.2460938,-0.1132813
ACCEL,2011-03-16 15:48:35.797,106,833,-0.0703125,0.1601563,-0.07421875
ACCEL,2011-03-16 15:48:35.817,106,834,0.9179688,-0.1523438,-0.1445313
ACCEL,2011-03-16 15:48:35.837,106,835,1.792969,-0.796875,-0.375
ACCEL,2011-03-16 15:48:35.857,106,836,2.671875,-0.8828125,-0.3789063
ACCEL,2011-03-16 15:48:35.877,106,837,2.40625,-1.042969,-0.3476563
ACCEL,2011-03-16 15:48:35.897,106,838,1.773438,-0.90625,-0.234375
ACCEL,2011-03-16 15:48:35.917,106,839,1.160156,-0.5664063,-0.109375
ACCEL,2011-03-16 15:48:35.937,106,840,0.6289063,-0.1835938,-0.01953125
