800,,,,,,
shaving,68,75,,,,
ACCEL,2011-03-17 11:04:12.938,106,300,-0.01953125,-0.1015625,-1.042969
ACCEL,2011-03-17 11:04:12.958,106,301,-0.1679688,-0.1679688,-0.9179688
ACCEL,2011-03-17 11:04:12.978,106,302,-0.1992188,-0.078125,-1.257813
ACCEL,2011-03-17 11:04:12.998,106,303,-0.2890625,-0.2539063,-1.457031
ACCEL,2011-03-17 11:04:13.018,106,304,-0.1484375,-0.08203125,-1.449219
ACCEL,2011-03-17 11:04:13.038,106,305,-0.2382813,-0.06640625,-1.414063
ACCEL,2011-03-17 11:04:13.058,106,306,-0.234375,-0.0546875,-1.285156
ACCEL,2011-03-17 11:04:13.078,106,307,-0.1367188,-0.02734375,-1.074219
ACCEL,2011-03-17 11:04:13.098,106,308,-0.0078125,0,-0.8984375
ACCEL,2011-03-17 11:04:13.118,106,309,0.0234375,0.03125,-0.7070313
ACCEL,2011-03-17 11:04:13.138,106,310,0.2578125,0.140625,-0.2539063
ACCEL,2011-03-17 11:04:13.158,106,311,-0.1054688,-0.15625,-0.5507813
ACCEL,2011-03-17 11:04:13.178,106,312,0.1132813,0.015625,-0.9023438
ACCEL,2011-03-17 11:04:13.198,106,313,0.046875,-0.0546875,-0.6210938
ACCEL,2011-03-17 11:04:13.218,106,314,-0.08203125,0.05859375,-0.8007813
ACCEL,2011-03-17 11:04:13.230,106,315,-0.203125,0.05078125,-1.125
ACCEL,2011-03-17 11:04:13.250,106,316,-0.2851563,-0.046875,-1.320313
ACCEL,2011-03-17 11:04:13.270,106,317,-0.1679688,0.03515625,-1.507813
ACCEL,2011-03-17 11:04:13.290,106,318,-0.1367188,0.0078125,-1.414063
ACCEL,2011-03-17 11:04:13.310,106,319,-0.2148438,-0.078125,-1.390625
ACCEL,2011-03-17 11:04:13.330,106,320,-0.140625,0.00390625,-1.152344
ACCEL,2011-03-17 11:04:13.350,106,321,0.0390625,0.03515625,-0.9648438
ACCEL,2011-03-17 11:04:13.370,106,322,-0.03515625,-0.04296875,-0.8476563
ACCEL,2011-03-17 11:04:13.390,106,323,0.01171875,0.015625,-0.71875
ACCEL,2011-03-17 11:04:13.406,106,324,0.046875,-0.1484375,-0.4960938
ACCEL,2011-03-17 11:04:13.426,106,325,-0.0546875,-0.203125,-0.7460938
ACCEL,2011-03-17 11:04:13.446,106,326,0.0859375,0.03125,-0.84375
ACCEL,2011-03-17 11:04:13.466,106,327,-0.015625,-0.1445313,-0.65625
ACCEL,2011-03-17 11:04:13.486,106,328,-0.08984375,-0.046875,-0.8320313
ACCEL,2011-03-17 11:04:13.506,106,329,-0.01953125,0.1601563,-1.082031
ACCEL,2011-03-17 11:04:13.526,106,330,0.06640625,0.234375,-1.207031
ACCEL,2011-03-17 11:04:13.546,106,331,0.046875,0.046875,-1.457031
ACCEL,2011-03-17 11:04:13.578,106,332,-0.1328125,0.00390625,-1.460938
ACCEL,2011-03-17 11:04:13.598,106,333,-0.1875,-0.0390625,-1.265625
ACCEL,2011-03-17 11:04:13.618,106,334,-0.1914063,-0.03125,-1.273438
ACCEL,2011-03-17 11:04:13.638,106,335,-0.1289063,0.01171875,-1.035156
ACCEL,2011-03-17 11:04:13.658,106,336,-0.0078125,-0.05859375,-0.875
ACCEL,2011-03-17 11:04:13.678,106,337,-0.07421875,-0.0859375,-0.8671875
ACCEL,2011-03-17 11:04:13.698,106,338,0.0859375,-0.08203125,-0.6171875
ACCEL,2011-03-17 11:04:13.718,106,339,0.046875,-0.05859375,-0.484375
ACCEL,2011-03-17 11:04:13.715,106,340,-0.05078125,-0.140625,-0.7226563
ACCEL,2011-03-17 11:04:13.735,106,341,0.06640625,0.0390625,-0.8710938
ACCEL,2011-03-17 11:04:13.755,106,342,-0.1015625,-0.1523438,-0.8085938
ACCEL,2011-03-17 11:04:13.775,106,343,-0.1445313,-0.0859375,-0.8789063
ACCEL,2011-03-17 11:04:13.795,106,344,-0.140625,-0.1054688,-1.328125
ACCEL,2011-03-17 11:04:13.815,106,345,-0.2734375,-0.09375,-1.25
ACCEL,2011-03-17 11:04:13.835,106,346,-0.3359375,-0.1992188,-1.980469
ACCEL,2011-03-17 11:04:13.855,106,347,-0.2304688,0,-1.480469
ACCEL,2011-03-17 11:04:13.875,106,348,-0.2617188,-0.06640625,-1.246094
ACCEL,2011-03-17 11:04:13.891,106,349,-0.34375,-0.00390625,-1.195313
ACCEL,2011-03-17 11:04:13.911,106,350,-0.1523438,-0.07421875,-0.9023438
ACCEL,2011-03-17 11:04:13.931,106,351,-0.03515625,0.03515625,-0.7890625
ACCEL,2011-03-17 11:04:13.951,106,352,0.02734375,0.03125,-0.6875
ACCEL,2011-03-17 11:04:13.971,106,353,0.1523438,0.171875,-0.5664063
ACCEL,2011-03-17 11:04:13.991,106,354,0.01953125,-0.1992188,-0.5546875
ACCEL,2011-03-17 11:04:14.011,106,355,-0.0390625,-0.109375,-0.796875
ACCEL,2011-03-17 11:04:14.031,106,356,-0.1601563,-0.03515625,-1.113281
ACCEL,2011-03-17 11:04:14.047,106,357,-0.1757813,-0.109375,-0.5820313
ACCEL,2011-03-17 11:04:14.067,106,358,-0.25,-0.046875,-0.9335938
ACCEL,2011-03-17 11:04:14.087,106,359,-0.2421875,-0.0390625,-1.238281
ACCEL,2011-03-17 11:04:14.107,106,360,-0.1796875,-0.01171875,-1.390625
ACCEL,2011-03-17 11:04:14.127,106,361,-0.2734375,-0.1015625,-1.480469
ACCEL,2011-03-17 11:04:14.147,106,362,-0.3046875,-0.0625,-1.324219
ACCEL,2011-03-17 11:04:14.167,106,363,-0.3710938,-0.09375,-1.226563
ACCEL,2011-03-17 11:04:14.187,106,364,-0.1835938,-0.08203125,-1.035156
ACCEL,2011-03-17 11:04:14.203,106,365,-0.1601563,0.00390625,-0.9726563
ACCEL,2011-03-17 11:04:14.223,106,366,0.0546875,-0.01171875,-0.6914063
ACCEL,2011-03-17 11:04:14.243,106,367,0,-0.02734375,-0.5
ACCEL,2011-03-17 11:04:14.263,106,368,-0.0234375,-0.0859375,-0.5546875
ACCEL,2011-03-17 11:04:14.283,106,369,-0.05078125,-0.078125,-0.75
ACCEL,2011-03-17 11:04:14.303,106,370,0.078125,0,-0.9101563
ACCEL,2011-03-17 11:04:14.323,106,371,-0.1484375,-0.1328125,-0.9257813
ACCEL,2011-03-17 11:04:14.343,106,372,-0.05859375,0.05078125,-0.8515625
ACCEL,2011-03-17 11:04:14.355,106,373,-0.15625,-0.08984375,-1.296875
ACCEL,2011-03-17 11:04:14.375,106,374,-0.1640625,-0.04296875,-1.429688
ACCEL,2011-03-17 11:04:14.395,106,375,-0.25,-0.0625,-1.566406
ACCEL,2011-03-17 11:04:14.415,106,376,-0.1523438,0.0234375,-1.503906
ACCEL,2011-03-17 11:04:14.435,106,377,-0.2734375,-0.1015625,-1.261719
ACCEL,2011-03-17 11:04:14.455,106,378,0.00390625,0.09765625,-1
ACCEL,2011-03-17 11:04:14.475,106,379,-0.01953125,-0.015625,-0.8867188
ACCEL,2011-03-17 11:04:14.495,106,380,-0.05078125,-0.04296875,-0.7226563
ACCEL,2011-03-17 11:04:14.515,106,381,-0.125,-0.2226563,-0.7070313
ACCEL,2011-03-17 11:04:14.531,106,382,0.1015625,0.1757813,-0.3671875
ACCEL,2011-03-17 11:04:14.551,106,383,-0.1445313,-0.1992188,-0.6289063
ACCEL,2011-03-17 11:04:14.571,106,384,-0.0859375,-0.1640625,-0.828125
ACCEL,2011-03-17 11:04:14.591,106,385,0.03515625,0.01953125,-0.6953125
ACCEL,2011-03-17 11:04:14.611,106,386,0.04296875,-0.02734375,-1.113281
ACCEL,2011-03-17 11:04:14.631,106,387,-0.06640625,-0.05078125,-1.125
ACCEL,2011-03-17 11:04:14.651,106,388,-0.1328125,0.08203125,-1.417969
ACCEL,2011-03-17 11:04:14.671,106,389,-0.2109375,0.0234375,-1.492188
ACCEL,2011-03-17 11:04:14.688,106,390,-0.2851563,-0.05078125,-1.421875
ACCEL,2011-03-17 11:04:14.708,106,391,-0.3007813,-0.05859375,-1.292969
ACCEL,2011-03-17 11:04:14.728,106,392,-0.2304688,-0.0625,-1.164063
ACCEL,2011-03-17 11:04:14.748,106,393,-0.1601563,-0.0703125,-1.039063
ACCEL,2011-03-17 11:04:14.768,106,394,-0.1015625,-0.07421875,-0.90625
ACCEL,2011-03-17 11:04:14.788,106,395,-0.09765625,0.015625,-0.6757813
ACCEL,2011-03-17 11:04:14.808,106,396,0.0625,-0.06640625,-0.5898438
ACCEL,2011-03-17 11:04:14.828,106,397,-0.1289063,-0.125,-0.5703125
ACCEL,2011-03-17 11:04:14.844,106,398,-0.0390625,0.01171875,-0.6835938
ACCEL,2011-03-17 11:04:14.864,106,399,-0.2109375,-0.1953125,-0.9804688
ACCEL,2011-03-17 11:04:14.884,106,400,-0.1289063,0.0390625,-0.703125
ACCEL,2011-03-17 11:04:14.904,106,401,-0.08984375,0.0703125,-1.152344
ACCEL,2011-03-17 11:04:14.924,106,402,-0.1289063,-0.03515625,-1.398438
ACCEL,2011-03-17 11:04:14.944,106,403,-0.1289063,-0.0078125,-1.550781
ACCEL,2011-03-17 11:04:14.964,106,404,-0.3203125,-0.0703125,-1.464844
ACCEL,2011-03-17 11:04:14.984,106,405,-0.4023438,-0.078125,-1.277344
ACCEL,2011-03-17 11:04:15.000,106,406,-0.2734375,-0.01953125,-1.230469
ACCEL,2011-03-17 11:04:15.020,106,407,-0.1523438,0.00390625,-1.066406
ACCEL,2011-03-17 11:04:15.040,106,408,-0.109375,-0.015625,-0.9257813
ACCEL,2011-03-17 11:04:15.060,106,409,-0.1328125,-0.046875,-0.7734375
ACCEL,2011-03-17 11:04:15.080,106,410,-0.015625,-0.03515625,-0.5078125
ACCEL,2011-03-17 11:04:15.100,106,411,-0.1328125,-0.08203125,-0.546875
ACCEL,2011-03-17 11:04:15.120,106,412,-0.1054688,-0.1757813,-0.6132813
ACCEL,2011-03-17 11:04:15.140,106,413,0.15625,0.00390625,-0.609375
ACCEL,2011-03-17 11:04:15.141,106,414,-0.1289063,-0.171875,-1.253906
ACCEL,2011-03-17 11:04:15.161,106,415,-0.2304688,-0.109375,-1.066406
ACCEL,2011-03-17 11:04:15.181,106,416,-0.1875,0.0625,-1.28125
ACCEL,2011-03-17 11:04:15.201,106,417,-0.1757813,0.04296875,-1.429688
ACCEL,2011-03-17 11:04:15.221,106,418,-0.3125,-0.03515625,-1.480469
ACCEL,2011-03-17 11:04:15.241,106,419,-0.2539063,-0.0078125,-1.316406
ACCEL,2011-03-17 11:04:15.261,106,420,-0.1289063,0.0546875,-1.078125
ACCEL,2011-03-17 11:04:15.281,106,421,-0.2148438,-0.046875,-1.363281
ACCEL,2011-03-17 11:04:15.308,106,422,-0.125,-0.00390625,-0.984375
ACCEL,2011-03-17 11:04:15.328,106,423,-0.05078125,-0.01171875,-0.7890625
ACCEL,2011-03-17 11:04:15.348,106,424,-0.0703125,-0.01953125,-0.9765625
ACCEL,2011-03-17 11:04:15.368,106,425,-0.03515625,-0.1054688,-0.5351563
ACCEL,2011-03-17 11:04:15.388,106,426,0.0078125,-0.0859375,-0.5390625
ACCEL,2011-03-17 11:04:15.408,106,427,-0.0078125,-0.1132813,-0.8203125
ACCEL,2011-03-17 11:04:15.428,106,428,-0.1757813,-0.1484375,-1.085938
ACCEL,2011-03-17 11:04:15.448,106,429,-0.046875,-0.03125,-0.9609375
ACCEL,2011-03-17 11:04:15.468,106,430,-0.1875,-0.0078125,-1.019531
ACCEL,2011-03-17 11:04:15.480,106,431,-0.1210938,0.078125,-1.238281
ACCEL,2011-03-17 11:04:15.500,106,432,-0.6835938,-0.2695313,-0.9296875
ACCEL,2011-03-17 11:04:15.520,106,433,-0.3671875,0.1875,-1.386719
ACCEL,2011-03-17 11:04:15.540,106,434,-0.3007813,0.01171875,-1.253906
ACCEL,2011-03-17 11:04:15.560,106,435,-0.25,-0.02734375,-1.191406
ACCEL,2011-03-17 11:04:15.580,106,436,-0.078125,0.01953125,-1.101563
ACCEL,2011-03-17 11:04:15.600,106,437,-0.1679688,-0.09765625,-1
ACCEL,2011-03-17 11:04:15.620,106,438,-0.3789063,0.0546875,-0.8789063
ACCEL,2011-03-17 11:04:15.640,106,439,0.01171875,0.0078125,-0.6640625
ACCEL,2011-03-17 11:04:15.656,106,440,-0.03125,0.015625,-0.53125
ACCEL,2011-03-17 11:04:15.676,106,441,-0.2773438,-0.1875,-0.609375
ACCEL,2011-03-17 11:04:15.696,106,442,-0.04296875,-0.046875,-0.7773438
ACCEL,2011-03-17 11:04:15.716,106,443,-0.3359375,-0.3554688,-1.113281
ACCEL,2011-03-17 11:04:15.736,106,444,0.03125,0.0625,-0.5273438
ACCEL,2011-03-17 11:04:15.756,106,445,-0.1289063,0.0078125,-1.207031
ACCEL,2011-03-17 11:04:15.776,106,446,-0.2382813,-0.09375,-1.136719
ACCEL,2011-03-17 11:04:15.796,106,447,-0.1601563,0,-1.332031
ACCEL,2011-03-17 11:04:15.808,106,448,-0.2929688,-0.03125,-1.390625
ACCEL,2011-03-17 11:04:15.828,106,449,-0.3046875,-0.015625,-1.296875
ACCEL,2011-03-17 11:04:15.848,106,450,-0.3320313,-0.07421875,-1.222656
ACCEL,2011-03-17 11:04:15.868,106,451,-0.234375,-0.0546875,-1.109375
ACCEL,2011-03-17 11:04:15.888,106,452,-0.1523438,-0.08203125,-0.9960938
ACCEL,2011-03-17 11:04:15.908,106,453,-0.0234375,-0.015625,-0.765625
ACCEL,2011-03-17 11:04:15.928,106,454,-0.1210938,-0.05859375,-0.7890625
ACCEL,2011-03-17 11:04:15.948,106,455,0.06640625,-0.0234375,-0.5546875
ACCEL,2011-03-17 11:04:15.968,106,456,-0.05859375,-0.171875,-0.640625
