800,,,,,,
chopping,225,250,,,,
ACCEL,2011-03-17 10:25:01.458,107,259,3.34375,0.07421875,0.01953125
ACCEL,2011-03-17 10:25:01.478,107,260,3.449219,-0.2695313,-0.6640625
ACCEL,2011-03-17 10:25:01.498,107,261,2.367188,-0.3867188,-0.109375
ACCEL,2011-03-17 10:25:01.518,107,262,1.488281,-0.5703125,0.06640625
ACCEL,2011-03-17 10:25:01.538,107,263,1.09375,-0.3945313,0.078125
ACCEL,2011-03-17 10:25:01.558,107,264,0.7070313,-0.1953125,0.03125
ACCEL,2011-03-17 10:25:01.578,107,265,0.1796875,-0.05078125,-0.0390625
ACCEL,2011-03-17 10:25:01.594,107,266,-1.066406,0.09375,0.00390625
ACCEL,2011-03-17 10:25:01.614,107,267,-0.8046875,0.0859375,-0.1328125
ACCEL,2011-03-17 10:25:01.634,107,268,-0.5078125,0.109375,-0.2773438
ACCEL,2011-03-17 10:25:01.654,107,269,0.109375,0.2617188,-0.046875
ACCEL,2011-03-17 10:25:01.674,107,270,2.574219,-0.2109375,0.3398438
ACCEL,2011-03-17 10:25:01.694,107,271,3.324219,-0.359375,-0.21875
ACCEL,2011-03-17 10:25:01.714,107,272,2.621094,-0.3984375,0.0234375
ACCEL,2011-03-17 10:25:01.734,107,273,1.726563,-0.7304688,0.1484375
ACCEL,2011-03-17 10:25:01.761,107,274,1.25,-0.421875,0.1445313
ACCEL,2011-03-17 10:25:01.781,107,275,0.8242188,-0.1875,0.0703125
ACCEL,2011-03-17 10:25:01.801,107,276,0.2578125,-0.078125,-0.02734375
ACCEL,2011-03-17 10:25:01.821,107,277,-0.1796875,0.171875,-0.125
ACCEL,2011-03-17 10:25:01.841,107,278,-0.8867188,0.0078125,-0.1445313
ACCEL,2011-03-17 10:25:01.861,107,279,-0.8007813,0.1523438,-0.1367188
ACCEL,2011-03-17 10:25:01.881,107,280,0.09765625,0.3789063,-0.08984375
ACCEL,2011-03-17 10:25:01.901,107,281,2.605469,-0.0546875,0.0703125
ACCEL,2011-03-17 10:25:01.921,107,282,4.386719,-0.4023438,-0.2265625
ACCEL,2011-03-17 10:25:01.942,107,283,2.558594,-0.4492188,-0.1445313
ACCEL,2011-03-17 10:25:01.962,107,284,1.640625,-0.6679688,0.08984375
ACCEL,2011-03-17 10:25:01.982,107,285,1.222656,-0.4765625,0.2070313
ACCEL,2011-03-17 10:25:02.002,107,286,0.8789063,-0.1757813,0.0234375
ACCEL,2011-03-17 10:25:02.022,107,287,0.4921875,-0.00390625,-0.05859375
ACCEL,2011-03-17 10:25:02.042,107,288,0.109375,-0.03515625,-0.05859375
ACCEL,2011-03-17 10:25:02.062,107,289,-0.6523438,0.09375,-0.328125
ACCEL,2011-03-17 10:25:02.078,107,290,-0.6601563,-0.0546875,-0.125
ACCEL,2011-03-17 10:25:02.098,107,291,-0.1289063,-0.04296875,-0.04296875
ACCEL,2011-03-17 10:25:02.118,107,292,1.816406,-0.1132813,-0.5625
ACCEL,2011-03-17 10:25:02.138,107,293,2.992188,-0.421875,-0.5
ACCEL,2011-03-17 10:25:02.158,107,294,2.832031,-0.5039063,-0.7226563
ACCEL,2011-03-17 10:25:02.178,107,295,1.984375,-0.8671875,-0.2695313
ACCEL,2011-03-17 10:25:02.198,107,296,1.273438,-0.4414063,-0.2070313
ACCEL,2011-03-17 10:25:02.218,107,297,0.8828125,-0.1992188,-0.21875
ACCEL,2011-03-17 10:25:02.230,107,298,0.4453125,-0.03125,-0.2109375
ACCEL,2011-03-17 10:25:02.250,107,299,0.0234375,0.5703125,-0.125
ACCEL,2011-03-17 10:25:02.270,107,300,-1.089844,-0.01171875,-0.296875
ACCEL,2011-03-17 10:25:02.290,107,301,-0.6757813,0.0390625,0.0625
ACCEL,2011-03-17 10:25:02.310,107,302,-0.07421875,-0.02734375,-0.03125
ACCEL,2011-03-17 10:25:02.330,107,303,2.011719,-0.171875,-0.375
ACCEL,2011-03-17 10:25:02.350,107,304,3.578125,-0.421875,-0.2226563
ACCEL,2011-03-17 10:25:02.370,107,305,3.148438,-0.8007813,-0.1835938
ACCEL,2011-03-17 10:25:02.390,107,306,1.988281,-0.6953125,-0.1054688
ACCEL,2011-03-17 10:25:02.406,107,307,1.230469,-0.40625,-0.125
ACCEL,2011-03-17 10:25:02.426,107,308,0.8359375,-0.1484375,-0.078125
ACCEL,2011-03-17 10:25:02.446,107,309,0.453125,0.01171875,-0.1289063
ACCEL,2011-03-17 10:25:02.466,107,310,0.3632813,0.4804688,0.078125
ACCEL,2011-03-17 10:25:02.486,107,311,-0.4179688,0.0703125,-0.09375
ACCEL,2011-03-17 10:25:02.506,107,312,-0.7304688,0.08984375,-0.015625
ACCEL,2011-03-17 10:25:02.526,107,313,-0.2226563,0.109375,0.1210938
ACCEL,2011-03-17 10:25:02.546,107,314,1.265625,0.01171875,-0.06640625
ACCEL,2011-03-17 10:25:02.583,107,315,3.152344,-0.3085938,-0.109375
ACCEL,2011-03-17 10:25:02.603,107,316,3.273438,-0.4960938,-0.484375
ACCEL,2011-03-17 10:25:02.623,107,317,2.425781,-0.53125,-0.375
ACCEL,2011-03-17 10:25:02.643,107,318,1.46875,-0.4921875,-0.0078125
ACCEL,2011-03-17 10:25:02.663,107,319,1.03125,-0.2421875,0.0625
ACCEL,2011-03-17 10:25:02.683,107,320,0.6132813,-0.01953125,-0.03515625
ACCEL,2011-03-17 10:25:02.703,107,321,0.15625,-0.0234375,-0.06640625
ACCEL,2011-03-17 10:25:02.715,107,322,-0.4414063,0.3164063,-0.2695313
ACCEL,2011-03-17 10:25:02.735,107,323,-0.671875,-0.02734375,0.09765625
ACCEL,2011-03-17 10:25:02.755,107,324,-0.4375,0.08203125,0.01953125
ACCEL,2011-03-17 10:25:02.775,107,325,0.7304688,-0.2382813,-0.1992188
ACCEL,2011-03-17 10:25:02.795,107,326,2.851563,-0.2148438,-0.2382813
