800,,,,,,
Whisking,90,120,,,,
ACCEL,2011-03-17 12:02:13.002,101,253,-0.1992188,1.117188,0.09375
ACCEL,2011-03-17 12:02:13.022,101,254,-0.2265625,1.335938,0.1914063
ACCEL,2011-03-17 12:02:13.042,101,255,-0.2460938,1.351563,0.3398438
ACCEL,2011-03-17 12:02:13.062,101,256,-0.2460938,1.234375,0.3515625
ACCEL,2011-03-17 12:02:13.078,101,257,-0.2578125,1.160156,0.3476563
ACCEL,2011-03-17 12:02:13.098,101,258,-0.296875,1.320313,0.296875
ACCEL,2011-03-17 12:02:13.118,101,259,-0.28125,1.226563,0.3789063
ACCEL,2011-03-17 12:02:13.138,101,260,-0.2890625,1.222656,0.4257813
ACCEL,2011-03-17 12:02:13.158,101,261,-0.3164063,1.265625,0.453125
ACCEL,2011-03-17 12:02:13.178,101,262,-0.3242188,1.132813,0.3476563
ACCEL,2011-03-17 12:02:13.198,101,263,-0.3242188,0.953125,0.3046875
ACCEL,2011-03-17 12:02:13.218,101,264,-0.359375,0.828125,0.296875
ACCEL,2011-03-17 12:02:13.239,101,265,-0.3632813,0.7226563,0.2929688
ACCEL,2011-03-17 12:02:13.259,101,266,-0.3515625,0.5234375,0.1875
ACCEL,2011-03-17 12:02:13.279,101,267,-0.3984375,0.3007813,0.046875
ACCEL,2011-03-17 12:02:13.299,101,268,-0.453125,0.2382813,-0.0234375
ACCEL,2011-03-17 12:02:13.319,101,269,-0.4804688,0.1523438,-0.06640625
ACCEL,2011-03-17 12:02:13.339,101,270,-0.46875,0.140625,-0.1015625
ACCEL,2011-03-17 12:02:13.359,101,271,-0.4960938,0.1640625,-0.1367188
ACCEL,2011-03-17 12:02:13.395,101,272,-0.4765625,0.2304688,-0.00390625
ACCEL,2011-03-17 12:02:13.415,101,273,-0.421875,0.3554688,0.0078125
ACCEL,2011-03-17 12:02:13.435,101,274,-0.3515625,0.578125,0.0234375
ACCEL,2011-03-17 12:02:13.455,101,275,-0.3085938,0.828125,0.1523438
ACCEL,2011-03-17 12:02:13.475,101,276,-0.1171875,0.9609375,0.4023438
ACCEL,2011-03-17 12:02:13.495,101,277,-0.06640625,1.3125,0.5585938
ACCEL,2011-03-17 12:02:13.515,101,278,-0.04296875,1.308594,0.7421875
ACCEL,2011-03-17 12:02:13.527,101,279,-0.0703125,1.046875,0.5390625
ACCEL,2011-03-17 12:02:13.547,101,280,-0.1835938,1.277344,0.2070313
ACCEL,2011-03-17 12:02:13.567,101,281,-0.2382813,1.484375,0.2304688
ACCEL,2011-03-17 12:02:13.587,101,282,-0.2265625,1.347656,0.3125
ACCEL,2011-03-17 12:02:13.607,101,283,-0.2617188,1.144531,0.1796875
ACCEL,2011-03-17 12:02:13.627,101,284,-0.3164063,1.113281,0.01953125
ACCEL,2011-03-17 12:02:13.647,101,285,-0.3398438,1.210938,0.015625
ACCEL,2011-03-17 12:02:13.667,101,286,-0.296875,1.171875,0.1601563
ACCEL,2011-03-17 12:02:13.687,101,287,-0.328125,1.226563,0.21875
ACCEL,2011-03-17 12:02:13.719,101,288,-0.3164063,1.214844,0.21875
ACCEL,2011-03-17 12:02:13.739,101,289,-0.3085938,1.089844,0.1289063
ACCEL,2011-03-17 12:02:13.759,101,290,-0.328125,1.0625,0.0234375
ACCEL,2011-03-17 12:02:13.779,101,291,-0.3125,1.046875,0.1640625
ACCEL,2011-03-17 12:02:13.799,101,292,-0.28125,0.9765625,0.2460938
ACCEL,2011-03-17 12:02:13.819,101,293,-0.2695313,0.8007813,0.171875
ACCEL,2011-03-17 12:02:13.839,101,294,-0.3164063,0.6289063,0.078125
ACCEL,2011-03-17 12:02:13.859,101,295,-0.3671875,0.546875,0.02734375
ACCEL,2011-03-17 12:02:13.880,101,296,-0.3632813,0.5039063,0.0703125
ACCEL,2011-03-17 12:02:13.900,101,297,-0.3398438,0.4296875,0.09375
ACCEL,2011-03-17 12:02:13.920,101,298,-0.3554688,0.390625,0.05859375
ACCEL,2011-03-17 12:02:13.940,101,299,-0.375,0.3945313,0.1054688
ACCEL,2011-03-17 12:02:13.960,101,300,-0.3710938,0.4335938,0.05078125
ACCEL,2011-03-17 12:02:13.980,101,301,-0.390625,0.6210938,-0.03125
ACCEL,2011-03-17 12:02:14.000,101,302,-0.3203125,0.8125,0.0859375
ACCEL,2011-03-17 12:02:14.031,101,303,-0.265625,0.8789063,0.2890625
ACCEL,2011-03-17 12:02:14.051,101,304,-0.1679688,0.6992188,0.3867188
ACCEL,2011-03-17 12:02:14.071,101,305,-0.04296875,0.5976563,0.28125
ACCEL,2011-03-17 12:02:14.091,101,306,0.015625,1.058594,0.203125
ACCEL,2011-03-17 12:02:14.111,101,307,0.01171875,1.367188,0.3710938
ACCEL,2011-03-17 12:02:14.131,101,308,0.04296875,1.113281,0.421875
ACCEL,2011-03-17 12:02:14.151,101,309,-0.0234375,1.085938,0.1914063
ACCEL,2011-03-17 12:02:14.171,101,310,-0.0234375,1.195313,0.03515625
ACCEL,2011-03-17 12:02:14.183,101,311,-0.01171875,1.292969,0.08203125
ACCEL,2011-03-17 12:02:14.203,101,312,-0.015625,1.394531,0.1953125
ACCEL,2011-03-17 12:02:14.223,101,313,-0.07421875,1.503906,0.1757813
ACCEL,2011-03-17 12:02:14.243,101,314,-0.09765625,1.578125,0.1757813
ACCEL,2011-03-17 12:02:14.263,101,315,-0.0859375,1.484375,0.1914063
ACCEL,2011-03-17 12:02:14.283,101,316,-0.04296875,1.296875,0.1757813
ACCEL,2011-03-17 12:02:14.303,101,317,-0.04296875,1.140625,0.09765625
ACCEL,2011-03-17 12:02:14.323,101,318,-0.1132813,1.140625,0.01171875
ACCEL,2011-03-17 12:02:14.343,101,319,-0.203125,1.191406,0.1015625
ACCEL,2011-03-17 12:02:14.360,101,320,-0.1953125,1.148438,0.21875
ACCEL,2011-03-17 12:02:14.380,101,321,-0.1914063,1.027344,0.1445313
ACCEL,2011-03-17 12:02:14.400,101,322,-0.2226563,0.859375,-0.00390625
ACCEL,2011-03-17 12:02:14.420,101,323,-0.2617188,0.7578125,0.02734375
ACCEL,2011-03-17 12:02:14.440,101,324,-0.2695313,0.7421875,0.1523438
ACCEL,2011-03-17 12:02:14.460,101,325,-0.265625,0.6210938,0.1171875
ACCEL,2011-03-17 12:02:14.480,101,326,-0.3046875,0.3789063,-0.03125
ACCEL,2011-03-17 12:02:14.500,101,327,-0.375,0.3671875,-0.125
ACCEL,2011-03-17 12:02:14.531,101,328,-0.3203125,0.4257813,-0.1328125
ACCEL,2011-03-17 12:02:14.551,101,329,-0.4726563,0.3085938,-0.2265625
ACCEL,2011-03-17 12:02:14.571,101,330,-0.4375,0.3203125,-0.2304688
ACCEL,2011-03-17 12:02:14.591,101,331,-0.3984375,0.4375,-0.171875
ACCEL,2011-03-17 12:02:14.611,101,332,-0.3320313,0.6914063,-0.02734375
ACCEL,2011-03-17 12:02:14.631,101,333,-0.3242188,0.8242188,0.0625
ACCEL,2011-03-17 12:02:14.651,101,334,-0.28125,0.8085938,0.140625
ACCEL,2011-03-17 12:02:14.671,101,335,0.01171875,0.8007813,0.8203125
ACCEL,2011-03-17 12:02:14.703,101,336,-0.15625,1.234375,0.5
ACCEL,2011-03-17 12:02:14.723,101,337,-0.1367188,1.199219,0.4648438
ACCEL,2011-03-17 12:02:14.743,101,338,-0.171875,1.179688,0.328125
ACCEL,2011-03-17 12:02:14.763,101,339,-0.2265625,1.304688,0.2539063
ACCEL,2011-03-17 12:02:14.783,101,340,-0.234375,1.242188,0.2109375
ACCEL,2011-03-17 12:02:14.803,101,341,-0.25,1.203125,0.06640625
ACCEL,2011-03-17 12:02:14.823,101,342,-0.3125,1.375,-0.0078125
ACCEL,2011-03-17 12:02:14.843,101,343,-0.2929688,1.339844,0.07421875
ACCEL,2011-03-17 12:02:14.719,101,336,-0.15625,1.234375,0.5
ACCEL,2011-03-17 12:02:14.739,101,337,-0.1367188,1.199219,0.4648438
ACCEL,2011-03-17 12:02:14.759,101,338,-0.171875,1.179688,0.328125
ACCEL,2011-03-17 12:02:14.779,101,339,-0.2265625,1.304688,0.2539063
