800,,,,,,
spreading,52,60,,,,
ACCEL,2011-03-17 10:50:01.623,107,617,0.1953125,-0.01953125,-1.222656
ACCEL,2011-03-17 10:50:01.643,107,618,0.2890625,-0.01953125,-1.0625
ACCEL,2011-03-17 10:50:01.663,107,619,0.3125,-0.0078125,-1.027344
ACCEL,2011-03-17 10:50:01.683,107,620,-1.050781,-0.3203125,-1.011719
ACCEL,2011-03-17 10:50:01.703,107,621,0.25,0.0078125,-1.027344
ACCEL,2011-03-17 10:50:01.719,107,622,0.2304688,-0.09765625,-0.9179688
ACCEL,2011-03-17 10:50:01.739,107,623,0.1171875,-0.08203125,-1.097656
ACCEL,2011-03-17 10:50:01.759,107,624,-0.0390625,-0.1835938,-1.191406
ACCEL,2011-03-17 10:50:01.779,107,625,-0.04296875,-0.25,-1.171875
ACCEL,2011-03-17 10:50:01.799,107,626,0.1445313,-0.2265625,-1.039063
ACCEL,2011-03-17 10:50:01.819,107,627,0.05078125,-0.203125,-1.011719
ACCEL,2011-03-17 10:50:01.839,107,628,-0.05078125,-0.2070313,-1.144531
ACCEL,2011-03-17 10:50:01.859,107,629,-0.359375,-0.625,-1.304688
ACCEL,2011-03-17 10:50:01.880,107,630,-0.2109375,-0.4492188,-1.328125
ACCEL,2011-03-17 10:50:01.900,107,631,-0.234375,-0.4179688,-1.09375
ACCEL,2011-03-17 10:50:01.920,107,632,-0.140625,-0.3671875,-0.8554688
ACCEL,2011-03-17 10:50:01.940,107,633,-0.015625,-0.3359375,-0.7695313
ACCEL,2011-03-17 10:50:01.960,107,634,0.109375,-0.2890625,-0.7890625
ACCEL,2011-03-17 10:50:01.980,107,635,0.171875,-0.1914063,-0.8710938
ACCEL,2011-03-17 10:50:02.000,107,636,0.4804688,-0.1523438,-0.921875
ACCEL,2011-03-17 10:50:02.011,107,637,0.6054688,-0.09765625,-0.9023438
ACCEL,2011-03-17 10:50:02.031,107,638,0.53125,-0.06640625,-0.8515625
ACCEL,2011-03-17 10:50:02.051,107,639,0.5507813,-0.0078125,-0.828125
ACCEL,2011-03-17 10:50:02.071,107,640,0.6914063,-0.00390625,-0.9335938
ACCEL,2011-03-17 10:50:02.091,107,641,0.703125,-0.015625,-0.9921875
ACCEL,2011-03-17 10:50:02.111,107,642,0.5507813,-0.01953125,-1.015625
ACCEL,2011-03-17 10:50:02.131,107,643,0.4101563,-0.2539063,-1.296875
ACCEL,2011-03-17 10:50:02.151,107,644,0.1210938,-0.125,-1.492188
ACCEL,2011-03-17 10:50:02.171,107,645,0.3203125,-0.1210938,-1.054688
ACCEL,2011-03-17 10:50:02.192,107,646,0.4335938,-0.1523438,-0.9765625
ACCEL,2011-03-17 10:50:02.212,107,647,0.203125,-0.1367188,-1.019531
ACCEL,2011-03-17 10:50:02.232,107,648,0.2773438,-0.1484375,-1.039063
ACCEL,2011-03-17 10:50:02.252,107,649,0.3007813,-0.1757813,-1.078125
ACCEL,2011-03-17 10:50:02.272,107,650,0.4296875,-0.140625,-1.085938
ACCEL,2011-03-17 10:50:02.292,107,651,0.15625,-0.2226563,-1.3125
ACCEL,2011-03-17 10:50:02.312,107,652,0.15625,-0.08984375,-1.011719
ACCEL,2011-03-17 10:50:02.344,107,653,0.265625,-0.1796875,-1.113281
ACCEL,2011-03-17 10:50:02.364,107,654,0.3046875,-0.1171875,-0.8554688
ACCEL,2011-03-17 10:50:02.384,107,655,0.1914063,-0.109375,-1.015625
ACCEL,2011-03-17 10:50:02.404,107,656,0.0859375,-0.06640625,-0.9765625
ACCEL,2011-03-17 10:50:02.424,107,657,0,-0.1445313,-1.089844
ACCEL,2011-03-17 10:50:02.444,107,658,-0.0703125,-0.2578125,-1.28125
ACCEL,2011-03-17 10:50:02.464,107,659,-0.171875,-0.3398438,-1.289063
ACCEL,2011-03-17 10:50:02.484,107,660,-0.1757813,-0.3359375,-1.097656
ACCEL,2011-03-17 10:50:02.500,107,661,-0.0546875,-0.2890625,-0.9140625
ACCEL,2011-03-17 10:50:02.520,107,662,0.0703125,-0.234375,-0.8359375
ACCEL,2011-03-17 10:50:02.540,107,663,0.2851563,-0.1875,-0.8359375
ACCEL,2011-03-17 10:50:02.560,107,664,0.4960938,-0.1640625,-0.8828125
