800,,,,,,
scaping-off,50,61,,,,
ACCEL,2011-03-17 11:13:51.671,106,991,0.9375,0.0546875,-0.671875
ACCEL,2011-03-17 11:13:51.543,106,992,0.984375,0.04296875,-0.6875
ACCEL,2011-03-17 11:13:51.563,106,993,0.9414063,0.05078125,-0.5429688
ACCEL,2011-03-17 11:13:51.583,106,994,0.8828125,0.02734375,-0.4726563
ACCEL,2011-03-17 11:13:51.603,106,995,0.8320313,-0.03515625,-0.4921875
ACCEL,2011-03-17 11:13:51.623,106,996,0.8632813,0.05078125,-0.5820313
ACCEL,2011-03-17 11:13:51.643,106,997,0.9296875,0.15625,-0.6523438
ACCEL,2011-03-17 11:13:51.663,106,998,0.9726563,0.1601563,-0.765625
ACCEL,2011-03-17 11:13:51.683,106,999,0.9296875,0.078125,-0.8828125
ACCEL,2011-03-17 11:13:51.703,106,1000,0.8945313,0.01171875,-0.9492188
ACCEL,2011-03-17 11:13:51.594,106,1001,0.8789063,0.00390625,-0.9648438
ACCEL,2011-03-17 11:13:51.614,106,1002,0.8789063,0.06640625,-0.8710938
ACCEL,2011-03-17 11:13:51.634,106,1003,0.8125,0.05859375,-0.8085938
ACCEL,2011-03-17 11:13:51.654,106,1004,0.7421875,0.01171875,-0.7070313
ACCEL,2011-03-17 11:13:51.674,106,1005,0.796875,-0.015625,-0.6640625
ACCEL,2011-03-17 11:13:51.694,106,1006,0.8125,-0.03515625,-0.5507813
ACCEL,2011-03-17 11:13:51.714,106,1007,0.859375,-0.03515625,-0.484375
ACCEL,2011-03-17 11:13:51.734,106,1008,0.8945313,-0.01171875,-0.515625
ACCEL,2011-03-17 11:13:51.621,106,1009,0.9609375,-0.0078125,-0.53125
ACCEL,2011-03-17 11:13:51.641,106,1010,0.9882813,-0.03515625,-0.4882813
ACCEL,2011-03-17 11:13:51.661,106,1011,1.007813,-0.0625,-0.4257813
ACCEL,2011-03-17 11:13:51.681,106,1012,1,-0.078125,-0.4296875
ACCEL,2011-03-17 11:13:51.701,106,1013,0.9609375,-0.0703125,-0.4648438
ACCEL,2011-03-17 11:13:51.721,106,1014,0.9414063,-0.0546875,-0.4726563
ACCEL,2011-03-17 11:13:51.741,106,1015,0.953125,-0.01953125,-0.453125
ACCEL,2011-03-17 11:13:51.761,106,1016,0.9726563,-0.1953125,-0.5820313
ACCEL,2011-03-17 11:13:51.781,106,1017,0.9257813,-0.0546875,-0.3710938
ACCEL,2011-03-17 11:13:51.801,106,1018,0.8515625,0.01171875,-0.5898438
ACCEL,2011-03-17 11:13:51.821,106,1019,0.828125,-0.01171875,-0.671875
ACCEL,2011-03-17 11:13:51.841,106,1020,0.8320313,-0.03125,-0.5039063
ACCEL,2011-03-17 11:13:51.861,106,1021,0.796875,-0.046875,-0.5117188
ACCEL,2011-03-17 11:13:51.881,106,1022,0.7539063,-0.0625,-0.578125
ACCEL,2011-03-17 11:13:51.901,106,1023,0.6992188,-0.05859375,-0.6171875
ACCEL,2011-03-17 11:13:51.921,106,1024,0.6875,-0.08203125,-0.6367188
ACCEL,2011-03-17 11:13:51.933,106,1025,0.65625,-0.109375,-0.6171875
ACCEL,2011-03-17 11:13:51.953,106,1026,0.6484375,-0.09765625,-0.6640625
ACCEL,2011-03-17 11:13:51.973,106,1027,0.6132813,-0.1171875,-0.6679688
ACCEL,2011-03-17 11:13:51.993,106,1028,0.578125,-0.09765625,-0.8046875
ACCEL,2011-03-17 11:13:52.013,106,1029,0.5507813,-0.125,-0.7851563
ACCEL,2011-03-17 11:13:52.033,106,1030,0.4765625,-0.1445313,-0.796875
ACCEL,2011-03-17 11:13:52.053,106,1031,0.4101563,-0.1171875,-1.011719
ACCEL,2011-03-17 11:13:52.073,106,1032,0.390625,-0.0703125,-1.066406
ACCEL,2011-03-17 11:13:52.093,106,1033,0.40625,-0.0546875,-1.054688
ACCEL,2011-03-17 11:13:52.094,106,1034,0.4179688,-0.0234375,-1.089844
ACCEL,2011-03-17 11:13:52.114,106,1035,0.359375,0.02734375,-1.257813
ACCEL,2011-03-17 11:13:52.134,106,1036,0.3242188,0.0234375,-1.429688
ACCEL,2011-03-17 11:13:52.154,106,1037,0.3398438,0.02734375,-1.511719
ACCEL,2011-03-17 11:13:52.174,106,1038,0.3710938,0.04296875,-1.578125
ACCEL,2011-03-17 11:13:52.194,106,1039,0.375,0.00390625,-1.546875
ACCEL,2011-03-17 11:13:52.214,106,1040,0.375,-0.07421875,-1.457031
ACCEL,2011-03-17 11:13:52.234,106,1041,0.3867188,-0.1367188,-1.3125
ACCEL,2011-03-17 11:13:52.266,106,1042,0.40625,-0.1757813,-1.128906
ACCEL,2011-03-17 11:13:52.286,106,1043,0.3515625,-0.2148438,-0.9257813
ACCEL,2011-03-17 11:13:52.306,106,1044,0.3359375,-0.21875,-0.7929688
ACCEL,2011-03-17 11:13:52.326,106,1045,0.3984375,-0.171875,-0.7148438
ACCEL,2011-03-17 11:13:52.346,106,1046,0.4609375,-0.140625,-0.6523438
ACCEL,2011-03-17 11:13:52.366,106,1047,0.5078125,-0.1757813,-0.6015625
ACCEL,2011-03-17 11:13:52.386,106,1048,0.5351563,-0.171875,-0.5898438
ACCEL,2011-03-17 11:13:52.406,106,1049,0.6132813,-0.140625,-0.6015625
ACCEL,2011-03-17 11:13:52.406,106,1050,0.7070313,-0.1328125,-0.5820313
ACCEL,2011-03-17 11:13:52.426,106,1051,0.7460938,-0.1679688,-0.5625
ACCEL,2011-03-17 11:13:52.446,106,1052,0.7148438,-0.1953125,-0.5898438
ACCEL,2011-03-17 11:13:52.466,106,1053,0.6796875,-0.1757813,-0.609375
ACCEL,2011-03-17 11:13:52.486,106,1054,0.9921875,-0.6328125,-0.625
ACCEL,2011-03-17 11:13:52.506,106,1055,0.8398438,-0.109375,-0.6992188
ACCEL,2011-03-17 11:13:52.526,106,1056,0.609375,-0.140625,-0.9296875
ACCEL,2011-03-17 11:13:52.546,106,1057,0.6367188,-0.203125,-0.7304688
ACCEL,2011-03-17 11:13:52.558,106,1058,0.5859375,-0.2109375,-0.6484375
ACCEL,2011-03-17 11:13:52.578,106,1059,0.5546875,-0.2109375,-0.671875
ACCEL,2011-03-17 11:13:52.598,106,1060,0.5351563,-0.1953125,-0.6953125
ACCEL,2011-03-17 11:13:52.618,106,1061,0.546875,-0.1914063,-0.7070313
ACCEL,2011-03-17 11:13:52.638,106,1062,0.5429688,-0.171875,-0.7460938
ACCEL,2011-03-17 11:13:52.658,106,1063,0.5078125,-0.1835938,-0.8007813
ACCEL,2011-03-17 11:13:52.678,106,1064,0.484375,-0.1679688,-0.7890625
ACCEL,2011-03-17 11:13:52.698,106,1065,0.515625,-0.1679688,-0.8398438
ACCEL,2011-03-17 11:13:52.718,106,1066,0.4804688,-0.1796875,-0.90625
ACCEL,2011-03-17 11:13:52.735,106,1067,0.46875,-0.1835938,-0.9335938
ACCEL,2011-03-17 11:13:52.755,106,1068,0.4804688,-0.1445313,-0.9609375
ACCEL,2011-03-17 11:13:52.775,106,1069,0.4570313,-0.125,-0.953125
ACCEL,2011-03-17 11:13:52.795,106,1070,0.453125,-0.1289063,-1
ACCEL,2011-03-17 11:13:52.815,106,1071,0.4414063,-0.1367188,-0.9960938
ACCEL,2011-03-17 11:13:52.835,106,1072,0.4335938,-0.1367188,-1.011719
ACCEL,2011-03-17 11:13:52.855,106,1073,0.4296875,-0.09765625,-1.066406
ACCEL,2011-03-17 11:13:52.875,106,1074,0.3789063,-0.06640625,-1.125
ACCEL,2011-03-17 11:13:52.911,106,1075,0.3554688,-0.05859375,-1.210938
ACCEL,2011-03-17 11:13:52.931,106,1076,0.328125,-0.03125,-1.28125
ACCEL,2011-03-17 11:13:52.951,106,1077,0.3085938,-0.01171875,-1.40625
ACCEL,2011-03-17 11:13:52.971,106,1078,0.2851563,-0.015625,-1.457031
ACCEL,2011-03-17 11:13:52.991,106,1079,0.2734375,-0.05078125,-1.398438
ACCEL,2011-03-17 11:13:53.011,106,1080,0.234375,-0.0703125,-1.289063
