800,,,,,,
slicing,30,70,,,,
ACCEL,2011-03-16 15:52:31.371,106,572,0.8125,0.5625,-0.015625
ACCEL,2011-03-16 15:52:31.391,106,573,0.7421875,0.5742188,0.06640625
ACCEL,2011-03-16 15:52:31.411,106,574,0.734375,0.5742188,0.0703125
ACCEL,2011-03-16 15:52:31.431,106,575,0.8164063,0.5625,0.0703125
ACCEL,2011-03-16 15:52:31.451,106,576,0.703125,0.5546875,0.06640625
ACCEL,2011-03-16 15:52:31.471,106,577,0.7226563,0.5703125,0.02734375
ACCEL,2011-03-16 15:52:31.491,106,578,0.8476563,0.5195313,0.0390625
ACCEL,2011-03-16 15:52:31.511,106,579,0.8125,0.5703125,0.09765625
ACCEL,2011-03-16 15:52:31.531,106,580,0.8320313,0.5390625,0.05078125
ACCEL,2011-03-16 15:52:31.547,106,581,0.8007813,0.5390625,0.06640625
ACCEL,2011-03-16 15:52:31.567,106,582,0.6328125,0.5898438,0.0703125
ACCEL,2011-03-16 15:52:31.587,106,583,0.6015625,0.53125,0.02734375
ACCEL,2011-03-16 15:52:31.607,106,584,0.9414063,0.5,0.0625
ACCEL,2011-03-16 15:52:31.627,106,585,0.8789063,0.4921875,0.046875
ACCEL,2011-03-16 15:52:31.647,106,586,0.890625,0.5039063,0.05859375
ACCEL,2011-03-16 15:52:31.667,106,587,0.8046875,0.5390625,0.0625
ACCEL,2011-03-16 15:52:31.687,106,588,0.9335938,0.484375,0.01953125
ACCEL,2011-03-16 15:52:31.703,106,589,0.7617188,0.5351563,0.07421875
ACCEL,2011-03-16 15:52:31.723,106,590,0.8710938,0.5117188,0.078125
ACCEL,2011-03-16 15:52:31.743,106,591,0.6875,0.5507813,0.0625
ACCEL,2011-03-16 15:52:31.763,106,592,0.8554688,0.4921875,0.01171875
ACCEL,2011-03-16 15:52:31.783,106,593,0.9140625,0.46875,0.05078125
ACCEL,2011-03-16 15:52:31.803,106,594,0.8554688,0.53125,0.0625
ACCEL,2011-03-16 15:52:31.823,106,595,0.8789063,0.5078125,0.046875
ACCEL,2011-03-16 15:52:31.843,106,596,0.8476563,0.515625,-0.0078125
ACCEL,2011-03-16 15:52:31.860,106,597,0.8203125,0.484375,0.03125
ACCEL,2011-03-16 15:52:31.880,106,598,0.9648438,0.4648438,0.015625
ACCEL,2011-03-16 15:52:31.900,106,599,0.9335938,0.5,0
ACCEL,2011-03-16 15:52:31.920,106,600,0.8515625,0.5195313,0.046875
ACCEL,2011-03-16 15:52:31.940,106,601,0.9453125,0.5039063,0
