800,,,,,,
scooping-pouring,115,150,,,,
ACCEL,2011-03-16 18:06:13.891,103,542,0.9765625,0.1289063,-0.03515625
ACCEL,2011-03-16 18:06:13.911,103,543,0.984375,0.125,-0.0703125
ACCEL,2011-03-16 18:06:13.931,103,544,0.9960938,0.125,-0.09765625
ACCEL,2011-03-16 18:06:13.951,103,545,1.007813,0.1289063,-0.1132813
ACCEL,2011-03-16 18:06:13.971,103,546,0.9921875,0.140625,-0.125
ACCEL,2011-03-16 18:06:13.991,103,547,0.9804688,0.1484375,-0.140625
ACCEL,2011-03-16 18:06:14.011,103,548,0.96875,0.1640625,-0.1484375
ACCEL,2011-03-16 18:06:14.031,103,549,0.9648438,0.1640625,-0.1679688
ACCEL,2011-03-16 18:06:14.047,103,550,0.9609375,0.1679688,-0.1835938
ACCEL,2011-03-16 18:06:14.067,103,551,0.96875,0.1757813,-0.1601563
ACCEL,2011-03-16 18:06:14.087,103,552,0.9726563,0.1835938,-0.234375
ACCEL,2011-03-16 18:06:14.107,103,553,0.9726563,0.171875,-0.2304688
ACCEL,2011-03-16 18:06:14.127,103,554,0.953125,0.1835938,-0.2460938
ACCEL,2011-03-16 18:06:14.147,103,555,0.9140625,0.1875,-0.2460938
ACCEL,2011-03-16 18:06:14.167,103,556,0.8945313,0.1875,-0.2265625
ACCEL,2011-03-16 18:06:14.187,103,557,0.8984375,0.1914063,-0.234375
ACCEL,2011-03-16 18:06:14.047,103,558,0.9023438,0.1992188,-0.2421875
ACCEL,2011-03-16 18:06:14.067,103,559,0.9179688,0.2148438,-0.2539063
ACCEL,2011-03-16 18:06:14.087,103,560,0.953125,0.2421875,-0.3125
ACCEL,2011-03-16 18:06:14.107,103,561,0.9804688,0.2539063,-0.359375
ACCEL,2011-03-16 18:06:14.127,103,562,0.9921875,0.2617188,-0.3554688
ACCEL,2011-03-16 18:06:14.147,103,563,0.9648438,0.2578125,-0.328125
ACCEL,2011-03-16 18:06:14.167,103,564,0.9609375,0.2539063,-0.3242188
ACCEL,2011-03-16 18:06:14.187,103,565,0.9648438,0.2539063,-0.3164063
ACCEL,2011-03-16 18:06:14.047,103,566,0.9726563,0.2734375,-0.3164063
ACCEL,2011-03-16 18:06:14.067,103,567,0.9921875,0.2734375,-0.296875
ACCEL,2011-03-16 18:06:14.087,103,568,0.9921875,0.2773438,-0.2890625
ACCEL,2011-03-16 18:06:14.107,103,569,1.011719,0.28125,-0.296875
ACCEL,2011-03-16 18:06:14.127,103,570,1.011719,0.2890625,-0.2734375
ACCEL,2011-03-16 18:06:14.147,103,571,1.019531,0.2773438,-0.2617188
ACCEL,2011-03-16 18:06:14.167,103,572,1.015625,0.28125,-0.2617188
ACCEL,2011-03-16 18:06:14.187,103,573,1.03125,0.2929688,-0.2734375
ACCEL,2011-03-16 18:06:14.063,103,659,0.05078125,0.4609375,-0.8710938
ACCEL,2011-03-16 18:06:14.083,103,660,0.0234375,0.4804688,-0.8945313
ACCEL,2011-03-16 18:06:14.103,103,661,0.00390625,0.4648438,-0.8710938
ACCEL,2011-03-16 18:06:14.123,103,662,-0.01171875,0.4648438,-0.8710938
ACCEL,2011-03-16 18:06:14.143,103,663,-0.05078125,0.4570313,-0.8398438
ACCEL,2011-03-16 18:06:14.163,103,664,-0.1640625,0.4414063,-0.78125
ACCEL,2011-03-16 18:06:14.183,103,665,-0.2382813,0.3984375,-0.7148438
ACCEL,2011-03-16 18:06:14.203,103,666,-0.1953125,0.3710938,-0.6835938
ACCEL,2011-03-16 18:06:14.063,103,667,-0.1601563,0.3515625,-0.6601563
ACCEL,2011-03-16 18:06:14.083,103,668,-0.1015625,0.3320313,-0.6757813
ACCEL,2011-03-16 18:06:14.103,103,669,-0.04296875,0.3359375,-0.6328125
ACCEL,2011-03-16 18:06:14.123,103,670,0.03515625,0.3164063,-0.5585938
ACCEL,2011-03-16 18:06:14.143,103,671,0.1601563,0.2773438,-0.5742188
ACCEL,2011-03-16 18:06:14.163,103,672,0.21875,0.3007813,-0.6289063
ACCEL,2011-03-16 18:06:14.183,103,673,0.4648438,0.34375,-0.6992188
ACCEL,2011-03-16 18:06:14.203,103,674,0.5820313,0.3476563,-0.6171875
ACCEL,2011-03-16 18:06:14.130,103,675,0.7109375,0.2851563,-0.5585938
ACCEL,2011-03-16 18:06:14.150,103,676,0.8203125,0.2421875,-0.578125
ACCEL,2011-03-16 18:06:14.170,103,677,0.8984375,0.2578125,-0.5078125
ACCEL,2011-03-16 18:06:14.190,103,678,0.9882813,0.2617188,-0.4023438
ACCEL,2011-03-16 18:06:14.210,103,679,1.03125,0.2304688,-0.3164063
ACCEL,2011-03-16 18:06:14.230,103,680,1.046875,0.1953125,-0.2773438
ACCEL,2011-03-16 18:06:14.250,103,681,1.097656,0.2226563,-0.2734375
ACCEL,2011-03-16 18:06:14.281,103,682,1.144531,0.3007813,-0.21875
ACCEL,2011-03-16 18:06:14.301,103,683,1.175781,0.3359375,-0.08984375
ACCEL,2011-03-16 18:06:14.321,103,684,1.160156,0.3164063,-0.0234375
ACCEL,2011-03-16 18:06:14.341,103,685,1.113281,0.2851563,-0.02734375
ACCEL,2011-03-16 18:06:14.361,103,686,1.089844,0.2929688,0.01953125
ACCEL,2011-03-16 18:06:14.381,103,687,1.097656,0.3398438,0.171875
ACCEL,2011-03-16 18:06:14.401,103,688,1.089844,0.3320313,0.2539063
ACCEL,2011-03-16 18:06:14.421,103,689,1.046875,0.2929688,0.2539063
ACCEL,2011-03-16 18:06:14.433,103,690,1.023438,0.2695313,0.2929688
ACCEL,2011-03-16 18:06:14.453,103,691,1.007813,0.265625,0.3554688
ACCEL,2011-03-16 18:06:14.473,103,692,1.007813,0.25,0.3867188
ACCEL,2011-03-16 18:06:14.493,103,693,0.9960938,0.2265625,0.375
ACCEL,2011-03-16 18:06:14.513,103,694,0.9609375,0.2109375,0.3632813
ACCEL,2011-03-16 18:06:14.533,103,695,0.9375,0.1914063,0.34375
ACCEL,2011-03-16 18:06:14.553,103,696,0.9414063,0.1914063,0.3671875
ACCEL,2011-03-16 18:06:14.573,103,697,0.96875,0.1953125,0.3671875
ACCEL,2011-03-16 18:06:14.593,103,698,0.9648438,0.1875,0.3398438
ACCEL,2011-03-16 18:06:14.614,103,699,0.96875,0.1679688,0.3007813
ACCEL,2011-03-16 18:06:14.634,103,700,0.953125,0.1523438,0.2578125
ACCEL,2011-03-16 18:06:14.654,103,701,0.9375,0.140625,0.2421875
ACCEL,2011-03-16 18:06:14.674,103,702,0.9335938,0.1289063,0.2304688
ACCEL,2011-03-16 18:06:14.694,103,703,0.9492188,0.109375,0.2304688
ACCEL,2011-03-16 18:06:14.714,103,704,0.9492188,0.1015625,0.21875
ACCEL,2011-03-16 18:06:14.734,103,705,0.9296875,0.0859375,0.203125
ACCEL,2011-03-16 18:06:14.770,103,706,0.9179688,0.07421875,0.1992188
ACCEL,2011-03-16 18:06:14.790,103,707,0.9453125,0.0703125,0.1992188
