800,,,,,,
scooping-pouring,111,129,,,,
ACCEL,2011-03-17 11:45:22.600,103,73,0.0859375,0.7578125,-0.9882813
ACCEL,2011-03-17 11:45:22.620,103,74,0.08984375,0.7265625,-0.9296875
ACCEL,2011-03-17 11:45:22.640,103,75,0.125,0.7226563,-0.96875
ACCEL,2011-03-17 11:45:22.672,103,76,0.1132813,0.7226563,-0.9570313
ACCEL,2011-03-17 11:45:22.692,103,77,0.1054688,0.6757813,-0.9140625
ACCEL,2011-03-17 11:45:22.712,103,78,0.078125,0.6289063,-0.8710938
ACCEL,2011-03-17 11:45:22.732,103,79,0.04296875,0.6054688,-0.8125
ACCEL,2011-03-17 11:45:22.752,103,80,0.015625,0.5351563,-0.765625
ACCEL,2011-03-17 11:45:22.772,103,81,-0.01171875,0.5,-0.7382813
ACCEL,2011-03-17 11:45:22.792,103,82,-0.0390625,0.4804688,-0.7148438
ACCEL,2011-03-17 11:45:22.812,103,83,-0.1015625,0.453125,-0.6015625
ACCEL,2011-03-17 11:45:22.813,103,84,-0.1367188,0.3828125,-0.5585938
ACCEL,2011-03-17 11:45:22.833,103,85,-0.15625,0.3632813,-0.5664063
ACCEL,2011-03-17 11:45:22.853,103,86,-0.171875,0.3671875,-0.5429688
ACCEL,2011-03-17 11:45:22.873,103,87,-0.2304688,0.3359375,-0.5
ACCEL,2011-03-17 11:45:22.893,103,88,-0.390625,0.328125,-0.3125
ACCEL,2011-03-17 11:45:22.913,103,89,-0.453125,0.3320313,-0.3242188
ACCEL,2011-03-17 11:45:22.933,103,90,-0.4179688,0.359375,-0.4140625
ACCEL,2011-03-17 11:45:22.953,103,91,-0.4179688,0.3554688,-0.4570313
ACCEL,2011-03-17 11:45:22.989,103,92,-0.546875,0.3359375,-0.3554688
ACCEL,2011-03-17 11:45:23.009,103,93,-0.6679688,0.3164063,-0.2617188
ACCEL,2011-03-17 11:45:23.029,103,94,-0.640625,0.2851563,-0.2851563
ACCEL,2011-03-17 11:45:23.049,103,95,-0.5742188,0.296875,-0.3789063
ACCEL,2011-03-17 11:45:23.069,103,96,-0.6132813,0.2851563,-0.3320313
ACCEL,2011-03-17 11:45:23.089,103,97,-0.6875,0.2890625,-0.1992188
ACCEL,2011-03-17 11:45:23.109,103,98,-0.7421875,0.2070313,-0.1523438
ACCEL,2011-03-17 11:45:23.125,103,99,-0.7617188,0.2265625,-0.171875
ACCEL,2011-03-17 11:45:23.145,103,100,-0.8125,0.296875,-0.109375
ACCEL,2011-03-17 11:45:23.165,103,101,-0.8945313,0.3242188,0.0390625
ACCEL,2011-03-17 11:45:23.185,103,102,-0.984375,0.3085938,0.1484375
ACCEL,2011-03-17 11:45:23.205,103,103,-0.96875,0.2578125,0.2070313
ACCEL,2011-03-17 11:45:23.225,103,104,-0.9609375,0.2421875,0.2226563
ACCEL,2011-03-17 11:45:23.245,103,105,-0.9882813,0.25,0.21875
ACCEL,2011-03-17 11:45:23.265,103,106,-1.070313,0.296875,0.5
ACCEL,2011-03-17 11:45:23.297,103,107,-1.082031,0.3476563,0.4765625
ACCEL,2011-03-17 11:45:23.317,103,108,-1.054688,0.3515625,0.4375
ACCEL,2011-03-17 11:45:23.337,103,109,-1.015625,0.4023438,0.4257813
ACCEL,2011-03-17 11:45:23.357,103,110,-1.058594,0.4101563,0.4765625
ACCEL,2011-03-17 11:45:23.377,103,111,-1.082031,0.3867188,0.53125
ACCEL,2011-03-17 11:45:23.397,103,112,-1.09375,0.4023438,0.5703125
ACCEL,2011-03-17 11:45:23.417,103,113,-1.105469,0.3828125,0.5664063
ACCEL,2011-03-17 11:45:23.437,103,114,-1.09375,0.421875,0.5195313
ACCEL,2011-03-17 11:45:23.473,103,115,-1.066406,0.4375,0.46875
ACCEL,2011-03-17 11:45:23.493,103,116,-1.015625,0.4101563,0.3789063
ACCEL,2011-03-17 11:45:23.513,103,117,-0.9960938,0.3671875,0.3476563
ACCEL,2011-03-17 11:45:23.533,103,118,-0.984375,0.3085938,0.359375
ACCEL,2011-03-17 11:45:23.553,103,119,-0.9570313,0.2578125,0.3476563
ACCEL,2011-03-17 11:45:23.573,103,120,-0.921875,0.2460938,0.2695313
ACCEL,2011-03-17 11:45:23.593,103,121,-0.8554688,0.2578125,0.1640625
ACCEL,2011-03-17 11:45:23.594,103,122,-0.8007813,0.2460938,0.0703125
ACCEL,2011-03-17 11:45:23.614,103,123,-0.78125,0.1679688,0.05078125
ACCEL,2011-03-17 11:45:23.634,103,124,-0.765625,0.1171875,0.03515625
ACCEL,2011-03-17 11:45:23.654,103,125,-0.7539063,0.1484375,0.00390625
ACCEL,2011-03-17 11:45:23.674,103,126,-0.7695313,0.15625,0.00390625
