800,,,,,,
slicing,70,90,,,,
ACCEL,2011-03-17 10:21:12.214,107,325,0.7421875,0.546875,0.2851563
ACCEL,2011-03-17 10:21:12.234,107,326,0.7890625,0.4335938,0.3789063
ACCEL,2011-03-17 10:21:12.266,107,327,0.9179688,0.4140625,0.3125
ACCEL,2011-03-17 10:21:12.286,107,328,0.9375,0.4101563,0.3476563
ACCEL,2011-03-17 10:21:12.306,107,329,0.8242188,0.4140625,0.4648438
ACCEL,2011-03-17 10:21:12.326,107,330,0.7890625,0.484375,0.4648438
ACCEL,2011-03-17 10:21:12.346,107,331,1.066406,0.4375,0.3789063
ACCEL,2011-03-17 10:21:12.366,107,332,1.050781,0.3359375,0.3515625
ACCEL,2011-03-17 10:21:12.386,107,333,0.90625,0.2539063,0.3945313
ACCEL,2011-03-17 10:21:12.406,107,334,0.8242188,0.2265625,0.5039063
ACCEL,2011-03-17 10:21:12.422,107,335,0.9257813,0.3398438,0.4140625
ACCEL,2011-03-17 10:21:12.442,107,336,1.117188,0.3164063,0.4609375
ACCEL,2011-03-17 10:21:12.462,107,337,1.234375,0.2734375,0.3945313
ACCEL,2011-03-17 10:21:12.482,107,338,1.175781,0.1914063,0.4648438
ACCEL,2011-03-17 10:21:12.502,107,339,1.082031,0.1601563,0.3710938
ACCEL,2011-03-17 10:21:12.522,107,340,1.023438,0.1367188,0.2578125
ACCEL,2011-03-17 10:21:12.542,107,341,0.9648438,0.1289063,0.2382813
ACCEL,2011-03-17 10:21:12.562,107,342,0.8554688,0.1757813,0.2070313
ACCEL,2011-03-17 10:21:12.438,107,335,0.9257813,0.3398438,0.4140625
ACCEL,2011-03-17 10:21:12.458,107,336,1.117188,0.3164063,0.4609375
ACCEL,2011-03-17 10:21:12.478,107,337,1.234375,0.2734375,0.3945313
ACCEL,2011-03-17 10:21:12.498,107,338,1.175781,0.1914063,0.4648438
ACCEL,2011-03-17 10:21:12.518,107,339,1.082031,0.1601563,0.3710938
ACCEL,2011-03-17 10:21:12.538,107,340,1.023438,0.1367188,0.2578125
ACCEL,2011-03-17 10:21:12.558,107,341,0.9648438,0.1289063,0.2382813
ACCEL,2011-03-17 10:21:12.578,107,342,0.8554688,0.1757813,0.2070313
ACCEL,2011-03-17 10:21:12.590,107,343,0.7460938,0.234375,0.2304688
ACCEL,2011-03-17 10:21:12.610,107,344,0.609375,0.2851563,0.2578125
ACCEL,2011-03-17 10:21:12.630,107,345,0.6132813,0.3398438,0.3476563
ACCEL,2011-03-17 10:21:12.650,107,346,0.7226563,0.390625,0.3203125
ACCEL,2011-03-17 10:21:12.670,107,347,0.7695313,0.4414063,0.265625
ACCEL,2011-03-17 10:21:12.690,107,348,0.7421875,0.4921875,0.2109375
ACCEL,2011-03-17 10:21:12.710,107,349,0.6796875,0.5585938,0.296875
