800,,,,,,
scooping,4050,4070,,,,
ACCEL,2011-03-16 17:14:07.751,1,451,0.4453125,-0.8398438,0.3203125
ACCEL,2011-03-16 17:14:07.771,1,452,0.4921875,-0.8515625,0.3007813
ACCEL,2011-03-16 17:14:07.791,1,453,0.4492188,-0.8632813,0.2578125
ACCEL,2011-03-16 17:14:07.811,1,454,0.484375,-0.8984375,0.3085938
ACCEL,2011-03-16 17:14:07.831,1,455,0.4726563,-0.8632813,0.3203125
ACCEL,2011-03-16 17:14:07.851,1,456,0.46875,-0.8671875,0.265625
ACCEL,2011-03-16 17:14:07.871,1,457,0.4648438,-0.8945313,0.2773438
ACCEL,2011-03-16 17:14:07.891,1,458,0.4726563,-0.8632813,0.2890625
ACCEL,2011-03-16 17:14:09.031,110,300,0.8710938,-0.1875,-0.3242188
ACCEL,2011-03-16 17:14:09.051,110,301,0.890625,-0.1640625,-0.28125
ACCEL,2011-03-16 17:14:09.071,110,302,0.9296875,-0.171875,-0.2070313
ACCEL,2011-03-16 17:14:09.091,110,303,0.9296875,-0.2265625,-0.1601563
ACCEL,2011-03-16 17:14:09.111,110,304,0.828125,-0.0859375,-0.1953125
ACCEL,2011-03-16 17:14:09.131,110,305,0.859375,-0.01953125,-0.1601563
ACCEL,2011-03-16 17:14:09.151,110,306,0.984375,-0.06640625,-0.1640625
ACCEL,2011-03-16 17:14:09.171,110,307,0.9375,0.03515625,0.2070313
ACCEL,2011-03-16 17:14:09.098,110,308,0.9882813,-0.0390625,-0.01171875
ACCEL,2011-03-16 17:14:09.118,110,309,0.9414063,-0.0703125,-0.07421875
ACCEL,2011-03-16 17:14:09.138,110,310,0.9804688,-0.08203125,-0.03515625
ACCEL,2011-03-16 17:14:09.158,110,311,1.058594,-0.0625,0.1992188
ACCEL,2011-03-16 17:14:09.178,110,312,1.160156,-0.04296875,-0.0625
ACCEL,2011-03-16 17:14:09.198,110,313,1.246094,0.015625,-0.203125
ACCEL,2011-03-16 17:14:09.218,110,314,1.21875,0.0390625,-0.2929688
ACCEL,2011-03-16 17:14:09.168,110,315,1.253906,0.04296875,-0.3085938
ACCEL,2011-03-16 17:14:09.188,110,316,1.25,0.0625,-0.3789063
ACCEL,2011-03-16 17:14:09.208,110,317,1.21875,0.078125,-0.5234375
ACCEL,2011-03-16 17:14:09.228,110,318,1.183594,0.08203125,-0.6875
ACCEL,2011-03-16 17:14:09.248,110,319,1.105469,0.15625,-0.6914063
ACCEL,2011-03-16 17:14:09.268,110,320,1.0625,0.1757813,-0.7890625
ACCEL,2011-03-16 17:14:09.288,110,321,1.019531,0.21875,-0.8984375
ACCEL,2011-03-16 17:14:09.308,110,322,0.9453125,0.1679688,-0.8945313
ACCEL,2011-03-16 17:14:09.328,110,323,0.7617188,0.203125,-0.71875
ACCEL,2011-03-16 17:14:09.324,110,324,0.6015625,0.2304688,-0.6640625
ACCEL,2011-03-16 17:14:09.344,110,325,0.515625,0.1992188,-0.828125
ACCEL,2011-03-16 17:14:09.364,110,326,0.46875,0.2070313,-0.9140625
ACCEL,2011-03-16 17:14:09.384,110,327,0.46875,0.21875,-0.9140625
ACCEL,2011-03-16 17:14:09.404,110,328,0.453125,0.2265625,-0.9023438
ACCEL,2011-03-16 17:14:09.424,110,329,0.4101563,0.2460938,-0.8242188
ACCEL,2011-03-16 17:14:09.444,110,330,0.4023438,0.234375,-0.7929688
ACCEL,2011-03-16 17:14:09.464,110,331,0.40625,0.1953125,-0.765625
ACCEL,2011-03-16 17:14:09.484,110,332,0.390625,0.1601563,-0.7578125
ACCEL,2011-03-16 17:14:09.505,110,333,0.4453125,0.1484375,-0.7109375
ACCEL,2011-03-16 17:14:09.525,110,334,0.4921875,0.125,-0.6601563
ACCEL,2011-03-16 17:14:09.545,110,335,0.5546875,0.109375,-0.6328125
ACCEL,2011-03-16 17:14:09.565,110,336,0.6445313,0.078125,-0.5742188
ACCEL,2011-03-16 17:14:09.585,110,337,0.7421875,0.05078125,-0.46875
ACCEL,2011-03-16 17:14:09.605,110,338,0.8046875,0.01953125,-0.3320313
ACCEL,2011-03-16 17:14:09.625,110,339,0.8789063,-0.0234375,-0.2148438
ACCEL,2011-03-16 17:14:09.636,110,340,0.953125,-0.0390625,-0.1171875
ACCEL,2011-03-16 17:14:09.656,110,341,0.96875,-0.015625,-0.046875
ACCEL,2011-03-16 17:14:09.676,110,342,1.070313,0.04296875,0.3398438
ACCEL,2011-03-16 17:14:09.696,110,343,1.027344,0.06640625,0.1601563
ACCEL,2011-03-16 17:14:09.716,110,344,1.003906,0.04296875,0.2617188
ACCEL,2011-03-16 17:14:09.736,110,345,1.0625,0.05078125,0.3984375
ACCEL,2011-03-16 17:14:09.756,110,346,0.9882813,0.2109375,0.5625
ACCEL,2011-03-16 17:14:09.776,110,347,1.054688,0.125,0.7421875
ACCEL,2011-03-16 17:14:09.796,110,348,1.007813,0.2421875,0.7421875
ACCEL,2011-03-16 17:14:09.824,110,349,1,0.2304688,0.6523438
ACCEL,2011-03-16 17:14:09.844,110,350,0.9726563,0.2382813,0.6484375
ACCEL,2011-03-16 17:14:09.864,110,351,0.9375,0.2148438,0.7226563
ACCEL,2011-03-16 17:14:09.884,110,352,0.8710938,0.1757813,0.703125
ACCEL,2011-03-16 17:14:09.904,110,353,0.8046875,0.140625,0.6210938
ACCEL,2011-03-16 17:14:09.924,110,354,0.765625,0.09765625,0.5429688
ACCEL,2011-03-16 17:14:09.944,110,355,0.7460938,0.07421875,0.4609375
ACCEL,2011-03-16 17:14:09.964,110,356,0.7265625,0.01953125,0.3789063
ACCEL,2011-03-16 17:14:09.984,110,357,0.6992188,-0.046875,0.3203125
ACCEL,2011-03-16 17:14:10.000,110,358,0.6914063,-0.09765625,0.3203125
ACCEL,2011-03-16 17:14:10.020,110,359,0.7382813,-0.1132813,0.2617188
ACCEL,2011-03-16 17:14:10.040,110,360,0.8359375,-0.109375,0.1210938
ACCEL,2011-03-16 17:14:10.060,110,361,0.9257813,-0.140625,0.0390625
ACCEL,2011-03-16 17:14:10.080,110,362,0.9609375,-0.171875,0.04296875
ACCEL,2011-03-16 17:14:10.100,110,363,1.007813,-0.2070313,-0.1171875
ACCEL,2011-03-16 17:14:10.120,110,364,1.058594,-0.2460938,-0.15625
ACCEL,2011-03-16 17:14:10.140,110,365,1.117188,-0.2265625,-0.2539063
ACCEL,2011-03-16 17:14:10.136,110,366,1.105469,-0.2265625,-0.2734375
ACCEL,2011-03-16 17:14:10.156,110,367,1.117188,-0.1757813,-0.2929688
ACCEL,2011-03-16 17:14:10.176,110,368,1.097656,-0.1445313,-0.3789063
ACCEL,2011-03-16 17:14:10.196,110,369,1.09375,-0.0859375,-0.4296875
ACCEL,2011-03-16 17:14:10.216,110,370,1.152344,-0.015625,-0.5039063
ACCEL,2011-03-16 17:14:10.236,110,371,1.171875,0.00390625,-0.5351563
ACCEL,2011-03-16 17:14:10.256,110,372,1.140625,0.01171875,-0.5546875
ACCEL,2011-03-16 17:14:10.276,110,373,1.105469,0.03125,-0.5625
ACCEL,2011-03-16 17:14:10.296,110,374,1.070313,0.05078125,-0.5742188
ACCEL,2011-03-16 17:14:10.324,110,375,1.027344,0.078125,-0.6289063
ACCEL,2011-03-16 17:14:10.344,110,376,0.9960938,0.1015625,-0.6679688
ACCEL,2011-03-16 17:14:10.364,110,377,0.9492188,0.1640625,-0.7460938
ACCEL,2011-03-16 17:14:10.384,110,378,0.8828125,0.2148438,-0.8085938
ACCEL,2011-03-16 17:14:10.404,110,379,0.7773438,0.2460938,-0.9296875
ACCEL,2011-03-16 17:14:10.424,110,380,0.6992188,0.25,-1.03125
ACCEL,2011-03-16 17:14:10.444,110,381,0.6210938,0.328125,-1
ACCEL,2011-03-16 17:14:10.464,110,382,0.5078125,0.375,-1.019531
ACCEL,2011-03-16 17:14:10.484,110,383,0.390625,0.375,-1.003906
ACCEL,2011-03-16 17:14:10.500,110,384,0.2890625,0.3398438,-0.9882813
ACCEL,2011-03-16 17:14:10.520,110,385,0.2304688,0.3007813,-0.9726563
ACCEL,2011-03-16 17:14:10.540,110,386,0.2226563,0.296875,-0.9570313
ACCEL,2011-03-16 17:14:10.560,110,387,0.2265625,0.28125,-0.9375
ACCEL,2011-03-16 17:14:10.580,110,388,0.2421875,0.2734375,-0.8945313
ACCEL,2011-03-16 17:14:10.600,110,389,0.2382813,0.2539063,-0.875
ACCEL,2011-03-16 17:14:10.620,110,390,0.2304688,0.2421875,-0.8046875
ACCEL,2011-03-16 17:14:10.640,110,391,0.234375,0.2109375,-0.765625
ACCEL,2011-03-16 17:14:10.652,110,392,0.2617188,0.171875,-0.75
ACCEL,2011-03-16 17:14:10.672,110,393,0.3320313,0.1601563,-0.7109375
ACCEL,2011-03-16 17:14:10.692,110,394,0.3867188,0.1523438,-0.6601563
ACCEL,2011-03-16 17:14:10.712,110,395,0.4492188,0.1601563,-0.6054688
ACCEL,2011-03-16 17:14:10.732,110,396,0.546875,-0.03125,-0.640625
ACCEL,2011-03-16 17:14:10.752,110,397,0.6015625,0.0859375,-0.59375
ACCEL,2011-03-16 17:14:10.772,110,398,0.71875,0.0703125,-0.5273438
ACCEL,2011-03-16 17:14:10.792,110,399,0.8242188,0.08203125,-0.4492188
ACCEL,2011-03-16 17:14:10.812,110,400,0.921875,0.0625,-0.3632813
ACCEL,2011-03-16 17:14:10.813,110,401,1.007813,0.1054688,-0.2773438
ACCEL,2011-03-16 17:14:10.833,110,402,1.078125,-0.0078125,-0.1523438
ACCEL,2011-03-16 17:14:10.853,110,403,1.105469,0.046875,-0.09765625
ACCEL,2011-03-16 17:14:10.873,110,404,1.171875,0.265625,1.230469
ACCEL,2011-03-16 17:14:10.893,110,405,1.125,0.1132813,0.1796875
ACCEL,2011-03-16 17:14:10.913,110,406,1.054688,0.1484375,0.2578125
ACCEL,2011-03-16 17:14:10.933,110,407,1.039063,0.1796875,0.3945313
ACCEL,2011-03-16 17:14:10.953,110,408,1.039063,0.203125,0.4765625
ACCEL,2011-03-16 17:14:10.973,110,409,1.054688,0.2109375,0.4726563
ACCEL,2011-03-16 17:14:10.993,110,410,1.058594,0.2460938,0.5390625
