800,,,,,,
scooping,145,160,,,,
ACCEL,2011-03-17 12:09:05.433,110,132,-0.4296875,0.2773438,-0.7539063
ACCEL,2011-03-17 12:09:05.453,110,133,-0.3789063,0.234375,-0.8085938
ACCEL,2011-03-17 12:09:05.473,110,134,-0.6289063,0.28125,-0.7148438
ACCEL,2011-03-17 12:09:05.493,110,135,-0.5273438,0.3632813,-0.6328125
ACCEL,2011-03-17 12:09:05.513,110,136,-0.3710938,0.3710938,-0.8945313
ACCEL,2011-03-17 12:09:05.533,110,137,-0.2773438,0.3320313,-1.019531
ACCEL,2011-03-17 12:09:05.553,110,138,-0.2421875,0.2851563,-0.9921875
ACCEL,2011-03-17 12:09:05.573,110,139,-0.28125,0.28125,-0.90625
ACCEL,2011-03-17 12:09:05.593,110,140,-0.4179688,0.3398438,-0.7695313
ACCEL,2011-03-17 12:09:05.610,110,141,-0.484375,0.4570313,-0.7304688
ACCEL,2011-03-17 12:09:05.630,110,142,-0.4375,0.5195313,-0.8085938
ACCEL,2011-03-17 12:09:05.650,110,143,-0.3710938,0.5195313,-0.8359375
ACCEL,2011-03-17 12:09:05.670,110,144,-0.359375,0.5898438,-0.921875
ACCEL,2011-03-17 12:09:05.690,110,145,-0.3242188,0.6054688,-1.019531
ACCEL,2011-03-17 12:09:05.710,110,146,-0.2695313,0.5820313,-1.046875
ACCEL,2011-03-17 12:09:05.730,110,147,-0.2226563,0.5742188,-1.074219
ACCEL,2011-03-17 12:09:05.750,110,148,-0.1914063,0.6132813,-1.074219
ACCEL,2011-03-17 12:09:05.761,110,149,-0.1679688,0.5976563,-1.085938
ACCEL,2011-03-17 12:09:05.781,110,150,-0.1953125,0.6171875,-1.078125
ACCEL,2011-03-17 12:09:05.801,110,151,-0.140625,0.671875,-1.167969
ACCEL,2011-03-17 12:09:05.821,110,152,0.0546875,0.7617188,-1.339844
ACCEL,2011-03-17 12:09:05.841,110,153,0.21875,0.7929688,-1.457031
ACCEL,2011-03-17 12:09:05.861,110,154,0.3007813,0.7382813,-1.453125
ACCEL,2011-03-17 12:09:05.881,110,155,0.265625,0.640625,-1.402344
ACCEL,2011-03-17 12:09:05.901,110,156,0.65625,0.53125,-1.328125
ACCEL,2011-03-17 12:09:05.921,110,157,0.3046875,0.453125,-1.1875
ACCEL,2011-03-17 12:09:05.933,110,158,0.2265625,0.3554688,-1.015625
ACCEL,2011-03-17 12:09:05.953,110,159,0.1679688,0.234375,-0.8632813
ACCEL,2011-03-17 12:09:05.973,110,160,0.1210938,0.1484375,-0.7539063
ACCEL,2011-03-17 12:09:05.993,110,161,0.078125,0.0703125,-0.7304688
ACCEL,2011-03-17 12:09:06.013,110,162,0.04296875,0.0234375,-0.640625
ACCEL,2011-03-17 12:09:06.033,110,163,0.01953125,0.07421875,-0.3515625
ACCEL,2011-03-17 12:09:06.053,110,164,-0.6601563,0,-0.2265625
ACCEL,2011-03-17 12:09:06.073,110,165,-0.1757813,-0.0078125,-0.28125
ACCEL,2011-03-17 12:09:06.093,110,166,-0.1992188,0,-0.3476563
ACCEL,2011-03-17 12:09:06.121,110,167,-0.234375,0.06640625,-0.2773438
ACCEL,2011-03-17 12:09:06.141,110,168,-0.2773438,0.09765625,-0.09375
ACCEL,2011-03-17 12:09:06.161,110,169,-0.2460938,0.0078125,-0.1015625
ACCEL,2011-03-17 12:09:06.181,110,170,-0.2382813,0.03515625,-0.1289063
ACCEL,2011-03-17 12:09:06.201,110,171,-0.2734375,0.1835938,-0.0390625
ACCEL,2011-03-17 12:09:06.221,110,172,-0.4140625,0.1953125,0.03125
ACCEL,2011-03-17 12:09:06.241,110,173,-0.5859375,0.140625,1.351563
ACCEL,2011-03-17 12:09:06.261,110,174,-0.7460938,0.4609375,0.8359375
ACCEL,2011-03-17 12:09:06.281,110,175,-0.9335938,0.4882813,1
ACCEL,2011-03-17 12:09:06.301,110,176,-1.019531,0.5,1.234375
ACCEL,2011-03-17 12:09:06.321,110,177,-1.082031,0.5390625,1.386719
ACCEL,2011-03-17 12:09:06.341,110,178,-1.054688,0.515625,1.421875
ACCEL,2011-03-17 12:09:06.361,110,179,-1.023438,0.4726563,1.410156
ACCEL,2011-03-17 12:09:06.381,110,180,-1.003906,0.5039063,1.308594
ACCEL,2011-03-17 12:09:06.401,110,181,-0.9726563,0.4570313,1.191406
ACCEL,2011-03-17 12:09:06.421,110,182,-0.9570313,0.40625,1.09375
ACCEL,2011-03-17 12:09:06.422,110,183,-0.8554688,0.3125,0.9257813
ACCEL,2011-03-17 12:09:06.442,110,184,-0.6953125,0.2265625,0.6328125
ACCEL,2011-03-17 12:09:06.462,110,185,-0.671875,0.1601563,0.4609375
ACCEL,2011-03-17 12:09:06.482,110,186,-0.734375,0.1875,0.3515625
ACCEL,2011-03-17 12:09:06.502,110,187,-0.71875,0.1367188,0.2695313
ACCEL,2011-03-17 12:09:06.522,110,188,-0.6835938,0.0625,0.203125
ACCEL,2011-03-17 12:09:06.542,110,189,-0.59375,-0.01171875,0.04296875
ACCEL,2011-03-17 12:09:06.562,110,190,-0.6328125,-0.0390625,-0.015625
ACCEL,2011-03-17 12:09:06.574,110,191,-0.7382813,0.0078125,0.015625
ACCEL,2011-03-17 12:09:06.594,110,192,-0.8085938,0.03125,-0.02734375
ACCEL,2011-03-17 12:09:06.614,110,193,-0.8242188,0.0859375,-0.078125
ACCEL,2011-03-17 12:09:06.634,110,194,-0.7695313,0.1445313,-0.1210938
ACCEL,2011-03-17 12:09:06.654,110,195,-0.703125,0.2226563,-0.2070313
ACCEL,2011-03-17 12:09:06.674,110,196,-0.953125,0.171875,-0.3046875
ACCEL,2011-03-17 12:09:06.694,110,197,-0.7421875,0.2734375,-0.125
ACCEL,2011-03-17 12:09:06.714,110,198,-0.5351563,0.2890625,-0.6523438
ACCEL,2011-03-17 12:09:06.734,110,199,-0.4453125,0.2539063,-0.7695313
ACCEL,2011-03-17 12:09:06.746,110,200,-0.5195313,0.3203125,-0.6523438
ACCEL,2011-03-17 12:09:06.766,110,201,-0.6484375,0.4609375,-0.5664063
ACCEL,2011-03-17 12:09:06.786,110,202,-0.7070313,0.515625,-0.5703125
ACCEL,2011-03-17 12:09:06.806,110,203,-0.6640625,0.5078125,-0.6679688
ACCEL,2011-03-17 12:09:06.826,110,204,-0.6132813,0.5195313,-0.6679688
ACCEL,2011-03-17 12:09:06.846,110,205,-0.484375,0.5976563,-0.7734375
ACCEL,2011-03-17 12:09:06.866,110,206,-0.34375,0.6171875,-0.9375
ACCEL,2011-03-17 12:09:06.886,110,207,-0.3671875,0.6054688,-0.9609375
ACCEL,2011-03-17 12:09:06.906,110,208,-0.421875,0.5976563,-0.9101563
ACCEL,2011-03-17 12:09:06.942,110,209,-0.3671875,0.640625,-0.9492188
ACCEL,2011-03-17 12:09:06.962,110,210,-0.2421875,0.6601563,-1.089844
ACCEL,2011-03-17 12:09:06.982,110,211,-0.1445313,0.7148438,-1.179688
ACCEL,2011-03-17 12:09:07.002,110,212,-0.01953125,0.7539063,-1.246094
ACCEL,2011-03-17 12:09:07.022,110,213,0.2226563,0.75,-1.367188
ACCEL,2011-03-17 12:09:07.042,110,214,0.3789063,0.8320313,-1.457031
ACCEL,2011-03-17 12:09:07.062,110,215,0.4609375,0.8515625,-1.539063
ACCEL,2011-03-17 12:09:07.063,110,216,0.4765625,0.7070313,-1.46875
ACCEL,2011-03-17 12:09:07.083,110,217,0.3984375,0.5234375,-1.257813
