800,,,,,,
Whisking,135,170,,,,
ACCEL,2011-03-16 17:48:33.755,101,259,0.1875,-0.2148438,-0.9804688
ACCEL,2011-03-16 17:48:33.775,101,260,0.1835938,-0.21875,-0.9921875
ACCEL,2011-03-16 17:48:33.795,101,261,0.1835938,-0.2148438,-0.9804688
ACCEL,2011-03-16 17:48:33.815,101,262,0.1835938,-0.2109375,-0.9921875
ACCEL,2011-03-16 17:48:33.835,101,263,0.1914063,-0.21875,-0.9804688
ACCEL,2011-03-16 17:48:33.855,101,264,0.1914063,-0.2148438,-0.9765625
ACCEL,2011-03-16 17:48:33.875,101,265,0.1835938,-0.21875,-0.9882813
ACCEL,2011-03-16 17:48:33.828,101,266,0.1875,-0.21875,-0.9921875
ACCEL,2011-03-16 17:48:33.848,101,267,0.1914063,-0.2148438,-0.9804688
ACCEL,2011-03-16 17:48:33.868,101,268,0.1914063,-0.2226563,-0.984375
ACCEL,2011-03-16 17:48:33.888,101,269,0.1835938,-0.2148438,-0.9921875
ACCEL,2011-03-16 17:48:33.908,101,270,0.1953125,-0.2226563,-0.9882813
ACCEL,2011-03-16 17:48:33.928,101,271,0.1835938,-0.2148438,-0.984375
ACCEL,2011-03-16 17:48:33.948,101,272,0.1835938,-0.21875,-0.9921875
ACCEL,2011-03-16 17:48:33.968,101,273,0.1914063,-0.2148438,-0.984375
ACCEL,2011-03-16 17:48:33.808,101,274,0.1835938,-0.2226563,-0.9882813
ACCEL,2011-03-16 17:48:33.828,101,275,0.1914063,-0.2148438,-0.984375
ACCEL,2011-03-16 17:48:33.848,101,276,0.1875,-0.21875,-0.9921875
ACCEL,2011-03-16 17:48:33.868,101,277,0.1875,-0.21875,-0.9921875
ACCEL,2011-03-16 17:48:33.888,101,278,0.1875,-0.2148438,-0.9765625
ACCEL,2011-03-16 17:48:33.908,101,279,0.1914063,-0.2148438,-0.9921875
ACCEL,2011-03-16 17:48:33.928,101,280,0.1875,-0.21875,-0.9960938
ACCEL,2011-03-16 17:48:33.948,101,281,0.1914063,-0.21875,-0.984375
ACCEL,2011-03-16 17:48:33.968,101,282,0.1875,-0.2109375,-0.984375
ACCEL,2011-03-16 17:48:33.926,101,283,0.1835938,-0.2148438,-0.9882813
ACCEL,2011-03-16 17:48:33.946,101,284,0.1835938,-0.2148438,-0.9882813
ACCEL,2011-03-16 17:48:33.966,101,285,0.1835938,-0.2109375,-0.9882813
ACCEL,2011-03-16 17:48:33.986,101,286,0.1796875,-0.2148438,-0.9921875
ACCEL,2011-03-16 17:48:34.006,101,287,0.1875,-0.21875,-0.9921875
ACCEL,2011-03-16 17:48:34.026,101,288,0.1875,-0.21875,-0.9921875
ACCEL,2011-03-16 17:48:34.046,101,289,0.1835938,-0.21875,-0.9804688
ACCEL,2011-03-16 17:48:33.942,101,361,0.0390625,0.9375,-0.3007813
ACCEL,2011-03-16 17:48:33.962,101,362,0.046875,0.9257813,-0.3554688
ACCEL,2011-03-16 17:48:33.982,101,363,0.01171875,0.9179688,-0.3320313
ACCEL,2011-03-16 17:48:34.002,101,364,0.01953125,0.8789063,-0.3242188
ACCEL,2011-03-16 17:48:34.022,101,365,0.1054688,0.8359375,-0.3710938
ACCEL,2011-03-16 17:48:34.042,101,366,0.265625,0.78125,-0.40625
ACCEL,2011-03-16 17:48:34.062,101,367,0.2773438,2.175781,-0.375
ACCEL,2011-03-16 17:48:33.942,101,368,0.5078125,0.7460938,-0.1132813
ACCEL,2011-03-16 17:48:33.962,101,369,0.3046875,0.921875,-0.1210938
ACCEL,2011-03-16 17:48:33.982,101,370,0.0859375,0.8984375,-0.078125
